PName	PPosition	PTeam	PGP	PG	PA	PPTS	P+/-	PPIM	PPPG	PPPA	PSHG	PSHA	PSOG	PDS	PGWG	POTG	PFirst	PInsurance	PSOGP	PSO/G	PATT	PSOWG	PSO%	PFOA	PFOW	PFO%	PPTS/G	PPIM/G
Jesse Schultz	RW	KEL	19	12	16	28	11	0	6	5	0	0	12	0	5	0	1	2	0	0	0	0	0.0	0	0	0.0	1.47	0.0
Tomas Slovak	D	KEL	19	2	20	22	18	0	1	8	0	1	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.16	0.0
Tyler Mosienko	C	KEL	19	11	10	21	12	0	2	3	1	0	11	0	2	0	1	5	0	0	0	0	0.0	0	0	0.0	1.11	0.0
Boyd Gordon	RW	RDR	23	8	12	20	4	0	0	7	1	0	8	0	2	0	2	2	0	0	0	0	0.0	0	0	0.0	0.87	0.0
Matt Ellison	RW	RDR	22	7	13	20	5	0	3	7	0	1	7	0	1	0	3	1	0	0	0	0	0.0	0	0	0.0	0.91	0.0
Josh Gorges	D	KEL	19	3	17	20	17	0	1	10	0	0	3	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	1.05	0.0
Cam Paddock	C	KEL	19	11	8	19	10	0	4	4	0	0	11	0	4	1	2	2	0	0	0	0	0.0	0	0	0.0	1.0	0.0
Brooks Laich	C	SEA	15	5	14	19	10	0	1	4	0	0	5	0	1	0	0	0	0	0	0	0	0.0	0	0	0.0	1.27	0.0
Ryan Cuthbert	C	KEL	18	9	7	16	11	0	2	3	0	0	9	0	2	1	2	1	0	0	0	0	0.0	0	0	0.0	0.89	0.0
Chris St. Jacques	C	M.H	11	2	14	16	1	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.45	0.0
Mason Wallin	C	SPO	11	9	6	15	-3	0	4	3	0	0	9	0	1	1	0	0	0	0	0	0	0.0	0	0	0.0	1.36	0.0
Joffrey Lupul	C	M.H	11	4	11	15	1	0	0	6	0	0	4	0	1	1	1	0	0	0	0	0	0.0	0	0	0.0	1.36	0.0
Tomas Fleischmann		M.J	12	4	11	15	5	0	2	3	0	0	4	0	2	0	0	1	0	0	0	0	0.0	0	0	0.0	1.25	0.0
Ryley Layden	C	RDR	23	2	13	15	-1	0	1	5	0	0	2	0	2	0	0	0	0	0	0	0	0.0	0	0	0.0	0.65	0.0
Dion Phaneuf	D	RDR	23	7	7	14	10	0	3	2	0	0	7	0	0	0	1	4	0	0	0	0	0.0	0	0	0.0	0.61	0.0
David Bararuk	C	M.J	13	5	9	14	0	0	3	5	0	0	5	0	1	1	2	0	0	0	0	0	0.0	0	0	0.0	1.08	0.0
Tim Konsorada	RW	BRN	17	4	10	14	0	0	3	5	0	0	4	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.82	0.0
Duncan Keith	D	KEL	19	3	11	14	5	0	2	7	0	0	3	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.74	0.0
Dustin Johner	C	SEA	15	7	6	13	8	0	2	2	2	0	7	0	1	0	2	0	0	0	0	0	0.0	0	0	0.0	0.87	0.0
Tyler Metcalfe	LW	SEA	15	7	6	13	7	0	3	4	0	0	7	0	2	1	1	1	0	0	0	0	0.0	0	0	0.0	0.87	0.0
Colin Fraser	C	RDR	22	7	6	13	8	0	0	2	0	0	7	0	1	0	0	1	0	0	0	0	0.0	0	0	0.0	0.59	0.0
Matthew Keith	C	RDR	23	6	7	13	-3	0	3	1	0	0	6	0	0	0	0	1	0	0	0	0	0.0	0	0	0.0	0.57	0.0
Joel Stepp	C	RDR	23	6	7	13	5	0	3	3	0	0	6	0	1	0	3	0	0	0	0	0	0.0	0	0	0.0	0.57	0.0
