Name	Position	League	Team	Height	Weight
Marc-Andre Fleury	G	QMJHL	Cape Breton	185.0	180
Eric Staal	C	OHL	Peterborough	190.0	205
Nathan Horton	C	OHL	Oshawa	185.0	229
Braydon Coburn	D	WHL	Portland	192.5	220
Dion Phaneuf	D	WHL	Red Deer	187.5	214
Jeff Carter	C	OHL	Sault Ste. Marie	187.5	200
Dustin Brown	RW	OHL	Guelph	180.0	209
Brent Seabrook	D	WHL	Lethbridge	187.5	218
Steve Bernier	RW	QMJHL	Moncton	185.0	216
Eric Fehr	RW	WHL	Brandon	190.0	212
Ryan Getzlaf	C	WHL	Calgary	190.0	220
Brent Burns	RW	OHL	Brampton	192.5	219
Marc-Antoine Pouliot	C	QMJHL	Rimouski	185.0	193
Mike Richards	C	OHL	Kitchener	177.5	195
Anthony Stewart	F	OHL	Kingston	187.5	230
Corey Perry	RW	OHL	London	187.5	206
Shawn Belle	D	WHL	Tri-City	182.5	235
Ryan Stone	C	WHL	Brandon	185.0	207
Mike Egener	D	WHL	Calgary	190.0	195
Kevin Klein	D	OHL	Toronto St. Michael's	182.5	201
Kamil Kreps	C	OHL	Brampton	185.0	194
Cory Urquhart	C	QMJHL	Montreal	185.0	195
Petr Vrana	LW	QMJHL	Halifax	175.0	174
Josh Hennessy	C	QMJHL	Quebec	180.0	200
Patrice Bergeron	C	QMJHL	Acadie-Bathurst	185.0	194
Dan Fritsche	C	OHL	Sarnia	182.5	204
Shea Weber	D	WHL	Kelowna	190.0	234
Corey Crawford	G	QMJHL	Moncton	185.0	200
B.J. Crombeen	RW	OHL	Barrie	185.0	214
Stefan Meyer	LW	WHL	Medicine Hat	185.0	200
Patrick O'Sullivan	C	OHL	Mississauga	177.5	190
Jeremy Colliton	C	WHL	Prince Albert	185.0	195
Marc-Andre Bernier	RW	QMJHL	Halifax	190.0	198
Maxim Lapierre	C	QMJHL	Montreal	185.0	207
David Liffiton	D	OHL	Plymouth	185.0	210
Masi Marjamaki	LW	WHL	Red Deer	185.0	184
Jean-Francois Jacques	LW	QMJHL	Baie Comeau	187.5	231
Colin Fraser	C	WHL	Red Deer	182.5	193
Jonathan Filewich	RW	WHL	Prince George	185.0	208
Daniel Carcillo	LW	OHL	Sarnia	180.0	205
Clarke MacArthur	LW	WHL	Medicine Hat	180.0	191
Richard Stehlik	D	QMJHL	Sherbrooke	190.0	245
Tyler Redenbach	F	WHL	Swift Current	177.5	184
Ryan Munce	G	OHL	Sarnia	185.0	180
Alexandre Picard	D	QMJHL	Halifax	187.5	215
Zack Fitzgerald	D	WHL	Seattle	185.0	205
Paul Brown	RW	WHL	Kamloops	185.0	184
Zack Stortini	RW	OHL	Sudbury	190.0	215
Rick Kozak	RW	WHL	Brandon	185.0	187
Jonathan Boutin	G	QMJHL	Halifax	182.5	200
Ryan Donally	LW	OHL	Windsor	190.0	210
Aaron Dawson	D	OHL	Peterborough	190.0	220
Philippe Dupuis	C	QMJHL	Hull	180.0	196
Martin Lojek	D	OHL	Brampton	190.0	220
James Sharrow	D	QMJHL	Halifax	185.0	195
Brandon Nolan	F	OHL	Oshawa	182.5	192
Jamie Tardif	RW	OHL	Peterborough	180.0	207
Corey Locke	C	OHL	Ottawa	172.5	175
Guillaume Desbiens	RW	QMJHL	Rouyn-Noranda	185.0	210
Frank Rediker	D	OHL	Windsor	182.5	200
Nathan Saunders	D	QMJHL	Moncton	190.0	210
Paul Bissonnette	D	OHL	Saginaw	187.5	220
Danny Stewart	LW	QMJHL	Rimouski	180.0	173
Kevin Nastiuk	G	WHL	Medicine Hat	182.5	180
Alexandre Bolduc	C	QMJHL	Rouyn-Noranda	182.5	197
Matej Trojovsky	D	WHL	Regina	190.0	220
David Svagrovsky	RW	WHL	Seattle	187.5	205
Kyle Quincey	D	OHL	London	185.0	207
David Tremblay	G	QMJHL	Hull	185.0	180
Nigel Dawes	LW	WHL	Kootenay	172.5	200
Mike Brown	G	OHL	Saginaw	180.0	177
John Mitchell	C	OHL	Plymouth	182.5	204
Chris Beckford-Tseu	G	OHL	Oshawa	187.5	201
Brad Richardson	C	OHL	Owen Sound	177.5	192
Ryan Oulahen	C	OHL	Brampton	180.0	180
Marc Methot	D	OHL	London	187.5	222
Pavel Voroshnin	D	OHL	Mississauga	185.0	183
Tyler Johnson	C	WHL	Moose Jaw	185.0	173
Ryan Gibbons	RW	WHL	Seattle	190.0	210
Bruno Gervais	D	QMJHL	Acadie-Bathurst	182.5	200
Nate Thompson	C	WHL	Seattle	180.0	210
Francis Wathier	LW	QMJHL	Hull	190.0	208
Mark Flood	D	OHL	Peterborough	182.5	190
Rejean Beauchemin	G	WHL	Prince Albert	182.5	193
Doug O'Brien	D	QMJHL	Hull	180.0	200
Shay Stephenson	LW	WHL	Red Deer	185.0	180
Andy Chiodo	G	OHL	Toronto St. Michael's	177.5	192
Jonathan Tremblay	RW	QMJHL	Acadie-Bathurst	187.5	240
Nathan Paetsch	D	WHL	Moose Jaw	182.5	198
Thomas Bellemare	D	QMJHL	Drummondville	185.0	236
Randall Gelech	F	WHL	Kelowna	185.0	206
Kyle Brodziak	C	WHL	Moose Jaw	185.0	209
Mathieu Roy	D	QMJHL	Val d'Or	185.0	208
Adam Courchaine	C	WHL	Vancouver	175.0	171
Jeremy Williams	C	WHL	Swift Current	180.0	191
Francois-Pierre Guenette	F	QMJHL	Halifax	180.0	180
Dany Roussin	C	QMJHL	Rimouski	185.0	190
Gerald Coleman	G	OHL	London	190.0	213
William Colbert	D	OHL	Ottawa	185.0	210
Stephen Dixon	C	QMJHL	Cape Breton	180.0	185
Mathieu Gravel	LW	QMJHL	Shawinigan	190.0	195
Jeff Weber	G	OHL	Plymouth	185.0	193
Shaun Landolt	RW	WHL	Calgary	182.5	202
Cam Cunning	LW	WHL	Kamloops	180.0	197
Jimmy Bonneau	LW	QMJHL	Montreal	185.0	216
Dustin Byfuglien	D	WHL	Prince George	192.5	265
Benoit Mondou	C	QMJHL	Shawinigan	175.0	165
Shane O'Brien	D	OHL	Toronto St. Michael's	187.5	230
Mathieu Melanson	LW	QMJHL	Chicoutimi	180.0	185
Nathan McIver	D	OHL	Toronto St. Michael's	187.5	205
Darryl Yacboski	D	WHL	Regina	187.5	216
Vladimir Kutny	LW	QMJHL	Quebec	190.0	195
Joey Tenute	C	OHL	Sarnia	175.0	176
Ryan Rorabeck	C	OHL	Toronto St. Michael's	182.5	173
John Hecimovic	RW	OHL	Sarnia	182.5	215
Louis Philippe Martin	RW	QMJHL	Baie Comeau	180.0	172
Troy Bodie	RW	WHL	Kelowna	190.0	196
Mark Olafson	RW	WHL	Kelowna	180.0	209
Jean-Michel Bolduc	D	QMJHL	Quebec	190.0	190
Trevor Hendrikx	D	OHL	Peterborough	185.0	200
Matthew Hansen	D	WHL	Seattle	190.0	198
Zbynek Hrdel	C	QMJHL	Rimouski	185.0	194
Nick Tarnasky	C	WHL	Lethbridge	185.0	224
