Name	Position	League	Team	Height	Weight
Aaron Ekblad	D	OHL	Barrie	187.5	216
Sam Reinhart	C	WHL	Kootenay	180.0	190
Leon Draisaitl	C	WHL	Prince Albert	182.5	204
Sam Bennett	C	OHL	Kingston	180.0	178
Michael Dal Colle	LW	OHL	Oshawa	182.5	182
Jake Virtanen	RW	WHL	Calgary	180.0	208
Haydn Fleury	D	WHL	Red Deer	185.0	203
Nikolaj Ehlers	LW	QMJHL	Halifax	175.0	176
Nick Ritchie	LW	OHL	Peterborough	185.0	226
Brendan Perlini	LW	OHL	Niagara	185.0	205
Julius Honka	D	WHL	Swift Current	175.0	180
Travis Sanheim	D	WHL	Calgary	187.5	181
Tony DeAngelo	D	OHL	Sarnia	175.0	175
Robby Fabbri	C	OHL	Guelph	175.0	170
Conner Bleackley	C	WHL	Red Deer	180.0	192
Jared McCann	C	OHL	Sault Ste. Marie	180.0	179
Nikita Scherbak	RW	WHL	Saskatoon	182.5	175
Nikolay Goldobin	RW	OHL	Sarnia	177.5	178
Joshua Ho-Sang	C/RW	OHL	Windsor	177.5	175
John Quenneville	C	WHL	Brandon	180.0	182
Brendan Lemieux	LW	OHL	Barrie	180.0	206
Jayce Hawryluk	C	WHL	Brandon	175.0	190
Ivan Barbashev	C/LW	QMJHL	Moncton	180.0	180
Mason McDonald	G	QMJHL	Charlottetown	190.0	178
Alex Nedeljkovic	G	OHL	Plymouth	177.5	190
Ryan MacInnis	C	OHL	Kitchener	187.5	183
Eric Cornel	C	OHL	Peterborough	182.5	186
Brett Pollock	LW	WHL	Edmonton	185.0	182
Nicolas Aube-Kubel	RW	QMJHL	Val d'Or	177.5	187
Vaclav Karabacek	RW	QMJHL	Gatineau	177.5	196
Roland McKeown	D	OHL	Kingston	180.0	195
Hunter Smith	RW	OHL	Oshawa	195.0	208
Christian Dvorak	LW	OHL	London	180.0	178
Brandon Halverson	G	OHL	Sault Ste. Marie	187.5	176
Alex Lintuniemi	D	OHL	Ottawa	187.5	231
Justin Kirkland	LW	WHL	Kelowna	185.0	175
Dominic Turgeon	C	WHL	Portland	182.5	198
Rinat Valiev	D	WHL	Kootenay	182.5	205
Connor Chatham	RW	OHL	Plymouth	185.0	222
Alex Schoenborn	RW	WHL	Portland	180.0	196
Brett Lernout	D	WHL	Swift Current	190.0	206
Brycen Martin	D	WHL	Swift Current	182.5	195
Alexander Peters	D	OHL	Plymouth	187.5	207
Blake Siebenaler	D	OHL	Niagara	180.0	192
Brayden Point	C	WHL	Moose Jaw	172.5	160
Dylan Sadowy	LW	OHL	Saginaw	177.5	183
Kyle Wood	D	OHL	North Bay	187.5	195
Keegan Iverson	C/RW	WHL	Portland	180.0	219
Michael Amadio	C	OHL	North Bay	182.5	190
Nick Magyar	RW	OHL	Kitchener	182.5	194
Josh Wesley	D	OHL	Plymouth	185.0	194
Chase De Leo	C	WHL	Portland	172.5	178
Nelson Nogier	D	WHL	Saskatoon	185.0	191
Alexis Vanier	D	QMJHL	Baie Comeau	190.0	215
Julien Pelletier	LW	QMJHL	Cape Breton	177.5	177
Alexis Pepin	LW	QMJHL	Gatineau	185.0	218
Brent Moran	G	OHL	Niagara	187.5	186
Michael Bunting	LW	OHL	Sault Ste. Marie	177.5	174
Ben Thomas	D	WHL	Calgary	182.5	190
Richard Nejezchleb	LW	WHL	Brandon	185.0	203
Jaedon Descheneau	RW	WHL	Kootenay	170.0	186
Clark Bishop	C	QMJHL	Cape Breton	177.5	182
Ryan Rehill	D	WHL	Kamloops	185.0	210
Dysin Mayo	D	WHL	Edmonton	177.5	181
Tanner Faith	D	WHL	Kootenay	190.0	219
Daniel Walcott	D	QMJHL	Blainville-Boisbriand	177.5	161
Daniel Audette	C	QMJHL	Sherbrooke	170.0	175
Rourke Chartier	C	WHL	Kelowna	175.0	173
Aaron Haydon	D	OHL	Niagara	185.0	197
Kyle Pettit	C	OHL	Erie	190.0	200
Jake Marchment	C	OHL	Belleville	187.5	206
Brandon Baddock	LW	WHL	Edmonton	187.5	205
Aaron Irving	D	WHL	Edmonton	180.0	185
Chase Lang	C	WHL	Calgary	182.5	191
Radel Fazleev	C	WHL	Calgary	180.0	176
Reid Duke	C	WHL	Lethbridge	180.0	191
Cristiano Digiacinto	LW	OHL	Windsor	175.0	186
Kevin Labanc	RW	OHL	Barrie	175.0	186
C.J. Yakimowicz	RW	OHL	London	185.0	198
Jaden Lindo	RW	OHL	Owen Sound	182.5	201
Sammy Blais	LW	QMJHL	Victoriaville	172.5	164
Matthew Mistele	LW	OHL	Plymouth	182.5	190
Keven Bouchard	G	QMJHL	Val d'Or	185.0	205
Austin Carroll	RW	WHL	Victoria	187.5	216
Cameron Darcy	C	QMJHL	Cape Breton	180.0	192
MacKenze Stewart	D	WHL	Prince Albert	187.5	240
Kyle Jenkins	D	OHL	Sault Ste. Marie	180.0	166
Francis Perron	LW	QMJHL	Rouyn-Noranda	177.5	166
Edgars Kulda	LW	WHL	Edmonton	177.5	177
Patrick Sanvido	D	OHL	Windsor	192.5	218
Olivier Leblanc	D	QMJHL	Saint John	177.5	157
Lukas Sutter	C	WHL	Red Deer	180.0	209
Julien Nantel	C/LW	QMJHL	Rouyn-Noranda	180.0	193
Spencer Watson	RW	OHL	Kingston	172.5	170
Jake Middleton	D	OHL	Ottawa	185.0	200
