Name	Position	League	Team	Height	Weight
Kirby Dach	C	WHL	Saskatoon	190.0	198
Bowen Byram	D	WHL	Vancouver	180.0	195
Dylan Cozens	C	WHL	Lethbridge	187.5	183
Peyton Krebs	C	WHL	Kootenay	177.5	183
Thomas Harley	D	OHL	Mississauga	187.5	193
Lassi Thomson	D	WHL	Kelowna	180.0	186
Sam Poulin	RW	QMJHL	Sherbrooke	182.5	212
Philip Tomasino	C	OHL	Niagara	177.5	183
Connor McMichael	C	OHL	London	177.5	182
Jakob Pelletier	LW	QMJHL	Moncton	172.5	165
Nolan Foote	LW	WHL	Kelowna	187.5	195
Ryan Suzuki	C	OHL	Barrie	180.0	180
Brayden Tracey	LW	WHL	Moose Jaw	180.0	170
Arthur Kaliyev	RW	OHL	Hamilton	185.0	194
Mads Sogaard	G	WHL	Medicine Hat	197.5	199
Raphael Lavoie	C	QMJHL	Halifax	190.0	199
Kaedan Korczak	D	WHL	Kelowna	187.5	194
Jamieson Rees	C	OHL	Sarnia	175.0	182
Artemi Kniazev	D	QMJHL	Chicoutimi	175.0	182
Matthew Robertson	D	WHL	Edmonton	187.5	200
Vladislav Kolyachonok	D	OHL	Flint	182.5	189
Nicholas Robertson	LW	OHL	Peterborough	170.0	162
Dillon Hamaliuk	LW	WHL	Seattle	185.0	194
Brett Leason	RW	WHL	Prince Albert	190.0	210
Samuel Bolduc	D	QMJHL	Blainville-Boisbriand	190.0	209
Hunter Jones	G	OHL	Peterborough	190.0	202
Nikita Okhotiuk	D	OHL	Ottawa	182.5	198
Nikita Alexandrov	C	QMJHL	Charlottetown	180.0	190
John Ludvig	D	WHL	Portland	180.0	196
Nathan Légaré	RW	QMJHL	Baie Comeau	180.0	206
Adam Beckman	LW	WHL	Spokane	182.5	168
Gianni Fairbrother	D	WHL	Everett	177.5	194
Alex Beaucage	RW	QMJHL	Rouyn-Noranda	182.5	192
Graeme Clarke	RW	OHL	Ottawa	177.5	175
Cole Schwindt	RW	OHL	Mississauga	185.0	182
Michael Vukojevic	D	OHL	Kitchener	187.5	212
Maxim Cajkovic	RW	QMJHL	Saint John	175.0	185
Aliaksei Protas	C	WHL	Prince Albert	190.0	205
Colten Ellis	G	QMJHL	Rimouski	182.5	188
Jordan Spence	D	QMJHL	Moncton	175.0	177
Mason Millman	D	OHL	Saginaw	180.0	175
Mikhail Abramov	C	QMJHL	Victoriaville	175.0	161
Ethan Keppen	LW	OHL	Flint	182.5	212
Mark Kastelic	C	WHL	Calgary	187.5	213
Jacob Leguerrier	D	OHL	Sault Ste. Marie	182.5	200
Carson Focht	C	WHL	Calgary	180.0	178
Henrik Rybinski	RW	WHL	Seattle	180.0	176
Sasha Mutala	RW	WHL	Tri-City	180.0	200
Mason Primeau	C	OHL	North Bay	192.5	205
Nicholas Porco	LW	OHL	Saginaw	177.5	177
Reece Newkirk	C	WHL	Portland	175.0	172
Matvey Guskov	C	OHL	London	182.5	182
Keean Washkurak	C	OHL	Mississauga	175.0	184
Egor Serdyuk	RW	QMJHL	Victoriaville	175.0	158
Greg Meireles	C	OHL	Kitchener	172.5	186
Roddy Ross	G	WHL	Seattle	185.0	180
Luka Burzan	RW	WHL	Brandon	180.0	184
Felix Bibeau	C	QMJHL	Rouyn-Noranda	177.5	186
Quinn Schmiemann	D	WHL	Kamloops	182.5	185
Blake Murray	C	OHL	Sudbury	182.5	187
Mathew Hill	D	OHL	Barrie	190.0	197
Maxence Guenette	D	QMJHL	Val d'Or	182.5	181
Cole Moberg	D	WHL	Prince George	185.0	187
Matthew Wedman	C	WHL	Seattle	185.0	197
Rafael Harvey-Pinard	LW	QMJHL	Rouyn-Noranda	170.0	166
Trent Miner	G	WHL	Vancouver	182.5	187
Valentin Nussbaumer	C	QMJHL	Shawinigan	175.0	165
Cole Coskey	RW	OHL	Saginaw	180.0	198
Tyler Angle	C	OHL	Windsor	172.5	167
Dustin Wolf	G	WHL	Everett	177.5	156
Jeremy Michel	LW	QMJHL	Val d'Or	180.0	165
