Name	Position	League	Team	Height	Weight
Jason Spezza	C	OHL	Windsor	187.5	216
Stephen Weiss	C	OHL	Plymouth	177.5	185
Pascal Leclaire	G	QMJHL	Halifax	185.0	202
Dan Blackburn	G	WHL	Kootenay	182.5	180
Dan Hamhuis	D	WHL	Prince George	182.5	209
Ales Hemsky	RW	QMJHL	Hull	180.0	184
Carlo Colaiacovo	D	OHL	Erie	182.5	205
Shaone Morrisonn	D	WHL	Kamloops	190.0	210
Colby Armstrong	RW	WHL	Red Deer	185.0	195
Tim Gleason	D	OHL	Windsor	180.0	217
Lukas Krajicek	D	OHL	Peterborough	187.5	205
Jeff Woywitka	D	WHL	Red Deer	187.5	227
Adrian Foster	LW	WHL	Saskatoon	182.5	200
Adam Munro	G	OHL	Erie	182.5	187
Matthew Spiller	D	WHL	Seattle	192.5	233
Derek Roy	C	OHL	Kitchener	172.5	184
Greg Watson	F	WHL	Prince Albert	182.5	208
Mark Popovic	D	OHL	Toronto St. Michael's	182.5	205
Kyle Wanvig	RW	WHL	Red Deer	185.0	210
Duncan Milroy	RW	WHL	Swift Current	182.5	196
Doug Lynch	D	WHL	Red Deer	187.5	214
Igor Pohanka	C	WHL	Prince Albert	187.5	185
Martin Podlesak	C	WHL	Lethbridge	195.0	219
Mike Zigomanis	C	OHL	Kingston	180.0	200
Chris Thorburn	C	OHL	North Bay	187.5	230
Kiel McLeod	C	WHL	Kelowna	195.0	240
Jason Pominville	RW	QMJHL	Shawinigan	180.0	185
Jay McClement	C	OHL	Brampton	182.5	205
Nathan Paetsch	D	WHL	Moose Jaw	182.5	198
Matt Keith	RW	WHL	Spokane	185.0	200
Peter Budaj	G	OHL	Toronto St. Michael's	182.5	200
Tomas Malec	D	QMJHL	Rimouski	185.0	215
Brendan Bell	D	OHL	Ottawa	185.0	211
Fedor Fedorov	LW	OHL	Sudbury	190.0	240
Robin Leblanc	RW	QMJHL	Baie Comeau	182.5	177
Grant McNeill	D	WHL	Prince Albert	185.0	214
Joel Stepp	F	WHL	Red Deer	180.0	185
Brandon Nolan	F	OHL	Oshawa	182.5	192
Craig Anderson	G	OHL	Guelph	185.0	180
Chris Heid	D	WHL	Spokane	182.5	205
Darren Mclachlan	LW	WHL	Seattle	182.5	230
Garth Murray	F	WHL	Regina	185.0	210
Michael Garnett	G	WHL	Saskatoon	182.5	210
Jay Harrison	D	OHL	Brampton	190.0	211
Aaron Johnson	D	QMJHL	Rimouski	182.5	208
Drew Fata	D	OHL	Toronto St. Michael's	182.5	209
Nicolas Corbeil	C	QMJHL	Sherbrooke	175.0	177
Owen Fussey	RW	WHL	Calgary	180.0	195
Stephane Veilleux	C	QMJHL	Val d'Or	182.5	190
Alexandre Rouleau	D	QMJHL	Val d'Or	182.5	180
Danny Bois	RW	OHL	London	180.0	196
Jordin Tootoo	RW	WHL	Brandon	172.5	197
Ray Emery	G	OHL	Sault Ste. Marie	185.0	196
Cory Stillman	C	OHL	Kingston	187.5	215
Brent MacLellan	D	QMJHL	Rimouski	187.5	211
Rob Zepp	G	OHL	Plymouth	180.0	181
Drew MacIntyre	G	QMJHL	Sherbrooke	182.5	190
Igor Valeev	RW	OHL	North Bay	177.5	203
Aaron Lobb	RW	OHL	London	190.0	208
Jeff Lucky	RW	WHL	Spokane	182.5	193
Colt King	LW	OHL	Guelph	185.0	221
Kyle Wellwood	C	OHL	Belleville	175.0	181
Billy Thompson	G	WHL	Prince George	185.0	200
Joel Perrault	C	QMJHL	Baie Comeau	185.0	212
Shawn Collymore	RW	QMJHL	Quebec	177.5	180
Cole Jarrett	D	OHL	Plymouth	175.0	200
Cody McCormick	F	OHL	Belleville	187.5	221
Jiri Jakes	RW	WHL	Brandon	190.0	225
Artem Ternavsky	D	QMJHL	Sherbrooke	185.0	208
Mike Smith	G	OHL	Sudbury	190.0	215
Pierre-Luc Emond	C	QMJHL	Drummondville	180.0	193
Andy Chiodo	G	OHL	Toronto St. Michael's	177.5	192
Dustin Johner	C	WHL	Seattle	175.0	181
Eric Himelfarb	C	OHL	Sarnia	172.5	161
Ryane Clowe	RW	QMJHL	Rimouski	185.0	225
Daniel Boisclair	G	QMJHL	Cape Breton	185.0	185
Brett Scheffelmaier	D	WHL	Medicine Hat	190.0	200
Brooks Laich	C	WHL	Moose Jaw	185.0	200
Nick Pannoni	G	WHL	Seattle	177.5	155
Charlie Stephens	F	OHL	Guelph	190.0	225
Matt Suderman	D	WHL	Saskatoon	185.0	224
Derek Boogaard	F	WHL	Prince George	197.5	265
Andrew Archer	D	OHL	Guelph	190.0	194
Petr Preucil	C	QMJHL	Quebec	182.5	168
Garett Bembridge	RW	WHL	Saskatoon	180.0	164
Thierry Douville	D	QMJHL	Baie Comeau	190.0	212
Steve Belanger	G	WHL	Kamloops	182.5	198
Sean Curry	D	WHL	Tri-City	190.0	230
Jason King	RW	QMJHL	Halifax	180.0	193
Jan Chovan	G	OHL	Belleville	177.5	178
Dan Baum	F	WHL	Prince George	180.0	169
Jan Platil	D	OHL	Barrie	185.0	213
Johnny Oduya	D	QMJHL	Victoriaville	180.0	190
Jeremy Van Hoof	D	OHL	Ottawa	185.0	200
Marek Svatos	RW	WHL	Kootenay	175.0	185
Mike Bray	RW	QMJHL	Quebec	187.5	208
Kyle Bruce	RW	WHL	Prince Albert	180.0	181
Ryan Bowness	RW	OHL	Brampton	185.0	198
Ryan Hollweg	C	WHL	Medicine Hat	175.0	212
Jake Riddle	LW	WHL	Seattle	182.5	210
Milan Jurcina	D	QMJHL	Halifax	190.0	240
Frantisek Lukes	LW	OHL	Toronto St. Michael's	172.5	173
Carter Trevisani	D	OHL	Ottawa	182.5	185
Tomas Mojzis	D	WHL	Moose Jaw	182.5	195
Jean-Francois Soucy	C	QMJHL	Montreal	187.5	190
PA Parenteau	C	QMJHL	Chicoutimi	180.0	198
Dale Sullivan	RW	QMJHL	Hull	177.5	170
Grant Jacobsen	C	WHL	Regina	185.0	201
Peter Reynolds	D	OHL	North Bay	187.5	195
Shay Stephenson	LW	WHL	Red Deer	185.0	180
Ryan Jorde	D	WHL	Tri-City	187.5	207
Marcel Rodman	RW	OHL	Peterborough	180.0	183
