Name	Position	League	Team	Height	Weight
Cam Barker	D	WHL	Medicine Hat	187.5	215
Andrew Ladd	LW	WHL	Calgary	187.5	205
Alexandre Picard	LW	QMJHL	Lewiston	185.0	206
Boris Valabik	D	OHL	Kitchener	197.5	255
Devan Dubnyk	G	WHL	Kamloops	195.0	202
Kyle Chipchura	C	WHL	Prince Albert	185.0	206
Wojtek Wolski	LW	OHL	Brampton	187.5	215
Rob Schremp	C	OHL	London	175.0	184
Jeff Schultz	D	WHL	Calgary	195.0	230
Mark Fistric	D	WHL	Vancouver	187.5	231
Mike Green	D	WHL	Saskatoon	182.5	204
Andy Rogers	D	WHL	Calgary	192.5	206
Dave Bolland	F	OHL	London	180.0	181
Logan Stephenson	D	WHL	Tri-City	187.5	185
David Shantz	G	OHL	Mississauga	182.5	204
Justin Peters	G	OHL	Toronto St. Michael's	182.5	205
Jordan Smith	D	OHL	Sault Ste. Marie	182.5	207
Bryan Bickell	LW	OHL	Ottawa	190.0	223
Michael Funk	D	WHL	Portland	190.0	199
Roman Teslyuk	D	WHL	Kamloops	182.5	195
Ryan Garlock	C	OHL	Windsor	182.5	202
Blake Comeau	RW	WHL	Kelowna	180.0	198
Dane Byers	LW	WHL	Prince Albert	187.5	204
Bruce Graham	C	QMJHL	Moncton	195.0	220
Kyle Wharton	D	OHL	Ottawa	187.5	185
Brandon Dubinsky	C	WHL	Portland	182.5	210
Martins Karsums	RW	QMJHL	Moncton	175.0	198
Mark Tobin	LW	QMJHL	Rimouski	187.5	204
Adam Berti	LW	OHL	Oshawa	187.5	205
Brandon Prust	F	OHL	London	185.0	192
Tim Brent	C	OHL	Toronto St. Michael's	180.0	188
Scott Lehman	D	OHL	Toronto St. Michael's	182.5	194
Clayton Stoner	D	WHL	Tri-City	187.5	225
Vaclav Meidl	C	OHL	Plymouth	192.5	198
John Lammers	LW	WHL	Lethbridge	177.5	184
Clayton Barthel	D	WHL	Seattle	187.5	205
Jeff Glass	G	WHL	Kootenay	187.5	206
Justin Pogge	G	WHL	Prince George	187.5	204
Daniel Lacosta	G	OHL	Owen Sound	182.5	186
Dustin Boyd	C	WHL	Moose Jaw	180.0	187
Tyler Kennedy	C	OHL	Sault Ste. Marie	177.5	183
Evan Schafer	D	WHL	Prince Albert	185.0	221
Chad Painchaud	LW	OHL	Mississauga	177.5	190
Nick Fugere	LW	QMJHL	Gatineau	185.0	230
Ashton Rome	RW	WHL	Moose Jaw	182.5	205
Brett Carson	D	WHL	Calgary	190.0	210
Ned Lukacevic	LW	WHL	Spokane	180.0	185
Liam Reddox	LW	OHL	Peterborough	177.5	178
Patrick Bordeleau	LW	QMJHL	Val d'Or	192.5	195
Aki Seitsonen	C	WHL	Prince Albert	187.5	206
Mitch Maunu	D	OHL	Windsor	185.0	205
Kristopher Hogg	LW	WHL	Kamloops	177.5	174
David Laliberte	RW	QMJHL	Prince Edward Island	182.5	194
Ryan Callahan	RW	OHL	Guelph	175.0	190
Evan McGrath	C	OHL	Kitchener	180.0	190
Jason Churchill	G	QMJHL	Halifax	190.0	184
Michal Sersen	D	QMJHL	Rimouski	180.0	176
Trevor Kell	RW	OHL	London	177.5	170
Petr Pohl	RW	QMJHL	Gatineau	177.5	185
Kris Versteeg	RW	WHL	Lethbridge	175.0	182
Kyle Moir	G	WHL	Swift Current	185.0	190
Eric Neilson	RW	QMJHL	Rimouski	185.0	205
Bryan Young	D	OHL	Peterborough	182.5	191
Steve Regier	LW	WHL	Medicine Hat	190.0	194
Gino Pisellini	RW	OHL	Plymouth	180.0	210
Bret Nasby	D	OHL	Oshawa	187.5	188
Brandon Elliott	D	OHL	Mississauga	190.0	225
Jean-Claude Sawyer	D	QMJHL	Cape Breton	187.5	204
Tyler Haskins	C	OHL	Toronto St. Michael's	182.5	177
Moises Gutierrez	RW	WHL	Kamloops	190.0	225
Federik Cabana	F	QMJHL	Halifax	182.5	182
Adam Pardy	D	QMJHL	Cape Breton	185.0	220
Aaron Boogaard	RW	WHL	Tri-City	187.5	220
Patrick Kaleta	RW	OHL	Peterborough	182.5	206
Max Gordichuk	D	WHL	Kamloops	192.5	228
Loic Lacasse	G	QMJHL	Baie Comeau	185.0	175
Josh Disher	G	OHL	Erie	182.5	164
Dan Turple	G	OHL	Oshawa	192.5	215
Julien Ellis	G	QMJHL	Shawinigan	182.5	188
Jean-Michel Rizk	RW	OHL	Saginaw	182.5	195
Justin Vienneau	D	QMJHL	Shawinigan	190.0	205
Matt Schneider	C	WHL	Tri-City	197.5	185
Mike Vernace	D	OHL	Brampton	180.0	216
Ryan Pottruff	D	OHL	London	185.0	198
Gabriel Bouthillette	G	QMJHL	Gatineau	187.5	205
Mark Mancari	RW	OHL	Ottawa	187.5	225
Stephane Goulet	RW	QMJHL	Quebec	187.5	185
Troy Brouwer	RW	WHL	Moose Jaw	185.0	214
Pierre-Luc Letourneau-Leblond	LW	QMJHL	Baie Comeau	185.0	215
Daniel Taylor	G	OHL	Guelph	180.0	198
Jordan Morrison	C	OHL	Peterborough	177.5	180
Jared Walker	C	WHL	Red Deer	187.5	183
Steven Covington	RW	WHL	Calgary	177.5	167
Chris Campoli	D	OHL	Erie	180.0	200
