Name	Position	League	Team	Height	Weight
Taylor Hall	LW	OHL	Windsor	182.5	194
Tyler Seguin	C	OHL	Plymouth	182.5	182
Erik Gudbranson	D	OHL	Kingston	190.0	195
Ryan Johansen	C	WHL	Portland	185.0	192
Nino Niederreiter	RW	WHL	Portland	185.0	205
Brett Connolly	RW	WHL	Prince George	185.0	181
Jeff Skinner	C	OHL	Kitchener	175.0	193
Alexander Burmistrov	C	OHL	Barrie	182.5	180
Dylan McIlrath	D	WHL	Moose Jaw	190.0	214
Cam Fowler	D	OHL	Windsor	182.5	190
Brandon Gormley	D	QMJHL	Moncton	185.0	185
Joey Hishon	C	OHL	Owen Sound	175.0	170
Austin Watson	LW	OHL	Peterborough	187.5	185
Mark Pysyk	D	WHL	Edmonton	182.5	174
Quinton Howden	C	WHL	Moose Jaw	185.0	182
Mark Visentin	G	OHL	Niagara	185.0	187
Emerson Etem	RW	WHL	Medicine Hat	180.0	190
Jared Knight	C	OHL	London	177.5	186
John McFarland	LW	OHL	Sudbury	180.0	192
Dalton Smith	LW	OHL	Ottawa	185.0	203
Alexander Petrovic	D	WHL	Red Deer	190.0	193
Brett Bulmer	RW	WHL	Kelowna	185.0	175
Christian Thomas	RW	OHL	Oshawa	172.5	166
Devante Smith-Pelly	RW	OHL	Mississauga	180.0	211
Brad Ross	LW	WHL	Portland	180.0	175
Ryan Spooner	C	OHL	Peterborough	175.0	172
Tyler Toffoli	C	OHL	Ottawa	182.5	183
Curtis Hamilton	LW	WHL	Saskatoon	185.0	206
Calvin Pickard	G	WHL	Seattle	182.5	195
Philip Lane	RW	OHL	Brampton	185.0	194
Petr Straka	RW	QMJHL	Rimouski	182.5	185
Kent Simpson	G	WHL	Everett	187.5	182
Ryan Martindale	C	OHL	Ottawa	187.5	183
Greg McKegg	C	OHL	Erie	180.0	191
Brock Beukeboom	D	OHL	Sault Ste. Marie	182.5	202
Max Reinhart	C	WHL	Kootenay	182.5	180
Kirill Kabanov	LW	QMJHL	Moncton	185.0	176
Radko Gudas	D	WHL	Everett	180.0	201
Jerome Leduc	D	QMJHL	Rouyn-Noranda	182.5	176
Jordan Weal	C	WHL	Regina	175.0	166
Michael Bournival	LW	QMJHL	Shawinigan	177.5	179
Adam Janosik	D	QMJHL	Gatineau	177.5	170
Joey Leach	D	WHL	Kootenay	187.5	187
Kevin Sundher	C	WHL	Chilliwack	180.0	192
Jakub Culek	LW	QMJHL	Rimouski	187.5	185
Taylor Aronson	D	WHL	Portland	180.0	196
Louis-Marc Aubry	C	QMJHL	Montreal	187.5	186
Matt MacKenzie	D	WHL	Calgary	182.5	191
Scott Wedgewood	G	OHL	Plymouth	182.5	190
Austin Levi	D	OHL	Plymouth	187.5	192
Stanislav Galiev	RW	QMJHL	Saint John	182.5	178
Michael Chaput	C	QMJHL	Lewiston	185.0	194
Jeremie Blain	D	QMJHL	Acadie-Bathurst	187.5	195
Brandon Archibald	D	OHL	Sault Ste. Marie	190.0	200
Stephen Silas	D	OHL	Belleville	182.5	183
Geoffrey Schemitsch	D	OHL	Owen Sound	182.5	180
Craig Cunningham	LW	WHL	Vancouver	175.0	185
Steven Shipley	C	OHL	Owen Sound	185.0	205
Andrew Yogan	C/LW	OHL	Erie	187.5	203
Ivan Telegin	LW	OHL	Saginaw	185.0	195
Mathieu Corbeil	G	QMJHL	Halifax	195.0	186
Justin Shugg	LW	OHL	Windsor	177.5	194
Alex Theriau	D	WHL	Everett	185.0	189
Philipp Grubauer	G	OHL	Windsor	180.0	180
Morgan Ellis	D	QMJHL	Cape Breton	182.5	197
Tye McGinn	LW	QMJHL	Gatineau	185.0	205
Rob Flick	C	OHL	Mississauga	185.0	205
Tyler Bunz	G	WHL	Medicine Hat	185.0	203
Austin Madaisky	D	WHL	Kamloops	185.0	185
Tony Dehart	D	OHL	Oshawa	185.0	187
Freddie Hamilton	C	OHL	Niagara	182.5	187
Jason Wilson	LW	OHL	Owen Sound	185.0	205
