Name	Position	League	Team	Height	Weight
Connor McDavid	C	OHL	Erie	180.0	195
Dylan Strome	C	OHL	Erie	187.5	185
Mitch Marner	C	OHL	London	177.5	160
Pavel Zacha	C	OHL	Sarnia	187.5	210
Ivan Provorov	D	WHL	Brandon	180.0	201
Timo Meier	RW	QMJHL	Halifax	182.5	209
Lawson Crouse	LW	OHL	Kingston	190.0	215
Jakub Zboril	D	QMJHL	Saint John	180.0	184
Jake DeBrusk	LW	WHL	Swift Current	177.5	174
Zach Senyshyn	RW	OHL	Sault Ste. Marie	182.5	192
Mathew Barzal	C	WHL	Seattle	177.5	175
Thomas Chabot	D	QMJHL	Saint John	182.5	180
Evgeny Svechnikov	LW	QMJHL	Cape Breton	182.5	199
Travis Konecny	C	OHL	Ottawa	172.5	175
Noah Juulsen	D	WHL	Everett	182.5	174
Anthony Beauvillier	LW	QMJHL	Shawinigan	175.0	173
Nick Merkley	RW	WHL	Kelowna	175.0	191
Jeremy Roy	D	QMJHL	Sherbrooke	180.0	188
Mitchell Stephens	C	OHL	Saginaw	177.5	188
Travis Dermott	D	OHL	Erie	177.5	197
Gabriel Gagne	RW	QMJHL	Victoriaville	190.0	186
Brandon Carlo	D	WHL	Tri-City	192.5	196
Paul Bittner	LW	WHL	Portland	190.0	204
Nicolas Meloche	D	QMJHL	Baie Comeau	185.0	204
Ryan Gropp	LW	WHL	Seattle	185.0	187
Mackenzie Blackwood	G	OHL	Barrie	190.0	215
Matthew Spencer	D	OHL	Peterborough	182.5	203
Daniel Sprong	RW	QMJHL	Charlottetown	180.0	180
Jansen Harkins	C	WHL	Prince George	182.5	182
Filip Chlapik	C	QMJHL	Charlottetown	182.5	196
Brendan Guhle	D	WHL	Prince Albert	182.5	184
Jeremy Lauzon	D	QMJHL	Rouyn-Noranda	182.5	193
Rasmus Andersson	D	OHL	Barrie	180.0	212
Graham Knott	LW	OHL	Niagara	187.5	190
Yakov Trenin	C	QMJHL	Gatineau	182.5	194
Vince Dunn	D	OHL	Niagara	177.5	187
Kyle Capobianco	D	OHL	Sudbury	182.5	178
Dennis Yan	LW	QMJHL	Shawinigan	182.5	184
Andrew Nielsen	D	WHL	Lethbridge	187.5	207
Guillaume Brisebois	D	QMJHL	Acadie-Bathurst	182.5	175
Blake Speers	C	OHL	Sault Ste. Marie	177.5	181
Keegan Kolesar	RW	WHL	Seattle	182.5	217
J.C. Beaudin	C	QMJHL	Rouyn-Noranda	182.5	181
Anthony Cirelli	C	OHL	Oshawa	177.5	160
Adin Hill	G	WHL	Portland	187.5	198
Sam Montembeault	G	QMJHL	Blainville-Boisbriand	185.0	173
Sergey Zborovskiy	D	WHL	Regina	187.5	198
Mitchell Vande Sompel	D	OHL	Oshawa	175.0	182
Deven Sideroff	RW	WHL	Kamloops	177.5	171
Thomas Schemitsch	D	OHL	Owen Sound	187.5	205
Callum Booth	G	QMJHL	Quebec	185.0	199
Adam Musil	C	WHL	Red Deer	185.0	202
Nicolas Roy	C	QMJHL	Chicoutimi	190.0	195
Colton White	D	OHL	Sault Ste. Marie	180.0	182
Samuel Dove-McFalls	LW	QMJHL	Saint John	185.0	207
Austin Wagner	LW	WHL	Regina	182.5	178
Anthony Richard	C	QMJHL	Val d'Or	172.5	163
Chris Martenet	D	OHL	London	197.5	198
Jesse Gabrielle	LW	WHL	Regina	175.0	205
Adam Helewka	LW	WHL	Spokane	182.5	201
Parker Wotherspoon	D	WHL	Tri-City	180.0	171
Brad Morrison	C	WHL	Prince George	177.5	154
Alexandre Carrier	D	QMJHL	Gatineau	177.5	174
Glenn Gawdin	C	WHL	Swift Current	180.0	191
Mathieu Joseph	RW	QMJHL	Saint John	180.0	166
Devante Stephens	D	WHL	Kelowna	182.5	171
Conor Garland	RW	QMJHL	Moncton	170.0	163
Ethan Bear	D	WHL	Seattle	177.5	200
Dmytro Timashov	LW	QMJHL	Quebec	172.5	192
Sam Ruopp	D	WHL	Prince George	187.5	179
Matthew Bradley	C	WHL	Medicine Hat	177.5	187
Matt Schmalz	RW	OHL	Sudbury	195.0	209
Pavel Karnaukhov	LW	WHL	Calgary	185.0	194
Spencer Smallman	RW	QMJHL	Saint John	180.0	184
Connor Hobbs	D	WHL	Regina	180.0	187
Carl Neill	D	QMJHL	Sherbrooke	182.5	213
Ryan Pilon	D	WHL	Brandon	185.0	206
Giorgio Estephan	C	WHL	Lethbridge	180.0	188
Stephen Desrocher	D	OHL	Oshawa	187.5	198
Sergei Boikov	D	QMJHL	Drummondville	182.5	195
Roy Radke	RW	OHL	Barrie	185.0	203
Andrew Mangiapane	LW	OHL	Barrie	175.0	170
Colby Williams	D	WHL	Regina	177.5	191
Liam Dunda	LW	OHL	Owen Sound	190.0	212
Simon Bourque	D	QMJHL	Rimouski	180.0	184
Bokondji Imama	LW	QMJHL	Saint John	182.5	214
Nikita Korostelev	RW	OHL	Sarnia	182.5	195
Steven Lorentz	C/LW	OHL	Peterborough	185.0	191
Chaz Reddekopp	D	WHL	Victoria	187.5	219
Riley Bruce	D	OHL	North Bay	195.0	205
Adam Marsh	LW	QMJHL	Saint John	180.0	160
Gustav Bouramman	D	OHL	Sault Ste. Marie	180.0	189
Matteo Gennaro	C	WHL	Prince Albert	185.0	187
Jeremiah Addison	LW	OHL	Ottawa	177.5	182
Tate Olson	D	WHL	Prince George	185.0	174
