Name	Position	League	Team	Height	Weight
Patrick Kane	RW	OHL	London	175.0	178
Thomas Hickey	D	WHL	Seattle	177.5	184
Karl Alzner	D	WHL	Calgary	187.5	206
Sam Gagner	F	OHL	London	177.5	191
Jakub Voracek	RW	QMJHL	Halifax	185.0	214
Zach Hamill	C	WHL	Everett	177.5	180
Logan Couture	C	OHL	Ottawa	182.5	195
Keaton Ellerby	D	WHL	Kamloops	190.0	186
Brandon Sutter	F	WHL	Red Deer	187.5	183
Alex Plante	D	WHL	Calgary	190.0	230
Colton Gillies	C	WHL	Saskatoon	190.0	189
Logan MacMillan	C	QMJHL	Halifax	182.5	172
Angelo Esposito	C	QMJHL	Quebec	185.0	190
Jonathon Blum	D	WHL	Vancouver	182.5	178
David Perron	LW	QMJHL	Lewiston	180.0	200
Nick Ross	D	WHL	Regina	182.5	196
TJ Brennan	D	QMJHL	St. John's Fog Devils	180.0	208
Brett MacLean	LW	OHL	Oshawa	182.5	200
Taylor Ellington	D	WHL	Everett	180.0	200
Josh Godfrey	D	OHL	Sault Ste. Marie	182.5	202
Stefan Legein	RW	OHL	Mississauga	172.5	170
Michal Repik	RW	WHL	Vancouver	175.0	180
Kevin Marshall	D	QMJHL	Lewiston	182.5	191
Eric Tangradi	C	OHL	Belleville	190.0	221
P.K. Subban	D	OHL	Belleville	180.0	206
Dana Tyrell	F	WHL	Prince George	177.5	185
Antoine Lafleur	G	QMJHL	PEI	190.0	198
Trevor Cann	G	OHL	Peterborough	177.5	199
Keven Veilleux	C	QMJHL	Victoriaville	192.5	218
Oscar Moller	C	WHL	Chilliwack	175.0	189
Jeremy Smith	G	OHL	Plymouth	180.0	171
Akim Aliu	F	OHL	Sudbury	190.0	225
Nick Spaling	C	OHL	Kitchener	182.5	196
Drew Schiestel	D	OHL	Mississauga	182.5	193
Ruslan Bashkirov	LW	QMJHL	Quebec	177.5	186
Wayne Simmonds	RW	OHL	Owen Sound	185.0	183
Mark Katic	D	OHL	Sarnia	175.0	195
Maxime Macenauer	C	QMJHL	Rouyn-Noranda	177.5	188
Olivier Fortier	C	QMJHL	Rimouski	177.5	181
Garrett Klotz	LW	WHL	Saskatoon	195.0	235
Spencer Machacek	RW	WHL	Vancouver	182.5	200
Maxime Tanguay	C	QMJHL	Rimouski	177.5	170
John Negrin	D	WHL	Kootenay	185.0	195
Drayson Bowman	F	WHL	Spokane	182.5	190
Yannick Weber	D	OHL	Kitchener	177.5	193
Dale Mitchell	RW	OHL	Oshawa	172.5	200
Robert Bortuzzo	D	OHL	Kitchener	187.5	196
Nick Palmieri	RW	OHL	Erie	187.5	220
Bryan Cameron	F	OHL	Belleville	177.5	186
Brett Sonne	F	WHL	Calgary	180.0	201
Tyson Sexsmith	G	WHL	Vancouver	177.5	210
Justin McCrae	C	WHL	Saskatoon	182.5	185
Maxim Gratchev	LW	QMJHL	Rimouski	177.5	196
Mitch Fadden	C	WHL	Lethbridge	180.0	193
Dwight King	F	WHL	Lethbridge	187.5	227
Justin Falk	D	WHL	Spokane	192.5	215
Luca Caputi	LW	OHL	Mississauga	187.5	200
Colton Sceviour	F	WHL	Portland	180.0	201
Keith Aulie	D	WHL	Brandon	195.0	208
Matt Halischuk	RW	OHL	Kitchener	177.5	185
Alex Grant	D	QMJHL	Saint John	185.0	185
Mark Santorelli	C	WHL	Chilliwack	182.5	188
Mario Kempe	RW	QMJHL	St. John's	180.0	179
Linden Rowat	G	WHL	Regina	182.5	185
Brett Leffler	RW	WHL	Regina	182.5	198
Chris Terry	LW	OHL	Plymouth	175.0	190
Ondrej Roman	C	WHL	Spokane	180.0	168
Cody Almond	C	WHL	Kelowna	185.0	199
Jake Muzzin	D	OHL	Sault Ste. Marie	187.5	213
Mickey Renaud	C	OHL	Windsor	182.5	208
Charles-Antoine Messier	C	QMJHL	Baie Comeau	175.0	176
Jean-Simon Allard	C	QMJHL	St. John's	185.0	195
Randy Cameron	C	QMJHL	Moncton	177.5	175
Michael Neal	LW	OHL	Belleville	187.5	205
Brett Morrison	C	QMJHL	PEI	177.5	192
Richard Greenop	C	OHL	Windsor	190.0	235
Anthony Peluso	D	OHL	Erie	187.5	235
Brett Bellemore	D	OHL	Plymouth	190.0	205
Christopher DiDomenico	C	QMJHL	Saint John	177.5	165
Dustin Jeffrey	C	OHL	Sault Ste. Marie	182.5	205
Luke Gazdic	LW	OHL	Erie	187.5	226
Zack Torquato	C	OHL	Erie	180.0	195
Paul Byron	C	QMJHL	Gatineau	172.5	144
Justin Taylor	C	OHL	London	177.5	180
Corey Syvret	D	OHL	Guelph	185.0	193
Torrie Jung	G	WHL	Kelowna	185.0	170
Josh Kidd	D	OHL	Erie	190.0	219
Matt Fillier	F	QMJHL	St. John's	180.0	185
Jordan Knackstedt	RW	WHL	Moose Jaw	185.0	195
David Skokan	C	QMJHL	Rimouski	180.0	185
Simon Lacroix	D	QMJHL	Shawinigan	185.0	172
Michael Ward	D	QMJHL	Lewiston	185.0	180
Carson McMillan	RW	WHL	Calgary	182.5	200
Frazer McLaren	LW	WHL	Portland	192.5	250
Paul Postma	D	WHL	Swift Current	187.5	195
Dan Gendur	RW	WHL	Everett	177.5	195
Ryan Molle	D	WHL	Swift Current	187.5	190
