Name	Position	League	Team	Height	Weight
Pierre-Luc Dubois	LW	QMJHL	Cape Breton	185.0	205
Olli Juolevi	D	OHL	London	185.0	188
Matthew Tkachuk	LW	OHL	London	182.5	202
Alex Nylander	LW	OHL	Mississauga	180.0	178
Mikhail Sergachev	D	OHL	Windsor	185.0	221
Logan Brown	C	OHL	Windsor	195.0	208
Michael McLeod	C	OHL	Mississauga	185.0	185
Jake Bean	D	WHL	Calgary	180.0	168
Jakob Chychrun	D	OHL	Sarnia	185.0	200
Logan Stanley	D	OHL	Windsor	197.5	224
Julien Gauthier	RW	QMJHL	Val d'Or	187.5	231
Max Jones	LW	OHL	London	185.0	206
Brett Howden	C	WHL	Moose Jaw	185.0	190
Lucas Johansen	D	WHL	Kelowna	182.5	175
Sam Steel	C	WHL	Regina	177.5	178
Tyler Benson	LW	WHL	Vancouver	177.5	197
Jordan Kyrou	C	OHL	Sarnia	180.0	169
Pascal Laberge	C	QMJHL	Victoriaville	182.5	174
Libor Hajek	D	WHL	Saskatoon	182.5	205
Adam Mascherin	LW	OHL	Kitchener	172.5	193
Alex DeBrincat	RW	OHL	Erie	167.5	165
Nathan Bastian	RW	OHL	Mississauga	187.5	206
Boris Katchouk	LW	OHL	Sault Ste. Marie	182.5	190
Givani Smith	RW	OHL	Guelph	182.5	205
Samuel Girard	D	QMJHL	Shawinigan	172.5	160
Carter Hart	G	WHL	Everett	182.5	176
Kale Clague	D	WHL	Brandon	177.5	184
Tyler Parsons	G	OHL	London	182.5	185
Dillon Dube	C	WHL	Kelowna	175.0	183
Taylor Raddysh	RW	OHL	Erie	182.5	203
Evan Fitzpatrick	G	QMJHL	Sherbrooke	185.0	203
Markus Niemelainen	D	OHL	Saginaw	190.0	198
Vitaly Abramov	RW	QMJHL	Gatineau	172.5	175
Cam Dineen	D	OHL	North Bay	177.5	185
Cliff Pu	RW	OHL	London	185.0	193
William Bitten	C	OHL	Flint	175.0	164
Josh Anderson	D	WHL	Prince George	185.0	228
Hudson Elynuik	C	WHL	Spokane	190.0	201
Connor Hall	D	OHL	Kitchener	185.0	190
Frederic Allard	D	QMJHL	Chicoutimi	180.0	183
Luke Green	D	QMJHL	Saint John	180.0	186
Brandon Gignac	C	QMJHL	Shawinigan	175.0	170
Sean Day	D	OHL	Mississauga	185.0	231
Carsen Twarynski	LW	WHL	Calgary	185.0	196
Joshua Mahura	D	WHL	Red Deer	180.0	184
Garrett Pilon	C	WHL	Kamloops	175.0	175
Connor Ingram	G	WHL	Kamloops	180.0	212
Adam Brooks	C	WHL	Regina	175.0	174
Jack Kopacka	LW	OHL	Sault Ste. Marie	182.5	191
Jonathan Ang	C	OHL	Peterborough	177.5	162
Victor Mete	D	OHL	London	172.5	174
Keaton Middleton	D	OHL	Saginaw	192.5	235
Evan Cormier	G	OHL	Saginaw	185.0	214
Connor Bunnaman	C	OHL	Kitchener	182.5	208
Noah Gregor	C	WHL	Moose Jaw	177.5	175
Nathan Noel	C	QMJHL	Saint John	175.0	179
Riley Stillman	D	OHL	Oshawa	180.0	189
Alex Dostie	C	QMJHL	Gatineau	175.0	165
Tanner Kaspick	C	WHL	Brandon	180.0	203
Vladimir Bobylev	RW	WHL	Victoria	185.0	202
Dylan Wells	G	OHL	Peterborough	182.5	182
Jordy Stallard	C	WHL	Calgary	182.5	179
Vojtech Budik	D	WHL	Prince Albert	182.5	202
Maxime Lajoie	D	WHL	Swift Current	180.0	180
Jeremy Helvig	G	OHL	Kingston	187.5	195
Jordan Sambrook	D	OHL	Erie	182.5	187
Cole Candella	D	OHL	Hamilton	182.5	189
Tim Gettinger	LW	OHL	Sault Ste. Marie	192.5	202
Conner Bleackley	C	WHL	Red Deer	180.0	192
Beck Malenstyn	LW	WHL	Calgary	182.5	190
Nick Caamano	RW	OHL	Flint	182.5	185
Christopher Paquette	C	OHL	Niagara	182.5	207
Manuel Wiederer	C	QMJHL	Moncton	180.0	171
Jonathan Walker	D	WHL	Victoria	175.0	179
Jakob Stukel	LW	WHL	Calgary	177.5	182
Brandon Hagel	LW	WHL	Red Deer	177.5	160
Michael Pezzetta	C	OHL	Sudbury	182.5	204
Noah Carroll	D	OHL	Guelph	182.5	178
Matthew Phillips	C	WHL	Victoria	165.0	140
Gabriel Fontaine	C	QMJHL	Rouyn-Noranda	182.5	179
Anthony Salinitri	C	OHL	Sarnia	175.0	168
Nicolas Mattinen	D	OHL	London	190.0	220
Mark Shoemaker	D	OHL	North Bay	185.0	208
Rodrigo Abols	C	WHL	Portland	190.0	188
Calvin Thurkauf	C	WHL	Kelowna	182.5	197
Stepan Falkovsky	D	OHL	Ottawa	197.5	224
Austin Osmanski	D	OHL	Mississauga	187.5	196
Travis Barron	LW	OHL	Ottawa	182.5	195
Brett McKenzie	C	OHL	North Bay	182.5	190
Dmitry Sokolov	RW	OHL	Sudbury	177.5	221
David Quenneville	D	WHL	Medicine Hat	170.0	182
Ty Ronning	RW	WHL	Vancouver	170.0	167
Jacob Friend	D	OHL	Owen Sound	182.5	182
Braydyn Chizen	D	WHL	Kelowna	202.5	195
Tyler Soy	C	WHL	Victoria	177.5	174
Otto Somppi	C	QMJHL	Halifax	180.0	189
