Name	Position	League	Team	Height	Weight
John Tavares	C	OHL	London	180.0	202
Matt Duchene	C	OHL	Brampton	177.5	200
Evander Kane	C	WHL	Vancouver	185.0	195
Brayden Schenn	C	WHL	Brandon	182.5	190
Nazem Kadri	C	OHL	London	180.0	188
Scott Glennie	RW	WHL	Brandon	182.5	185
Jared Cowen	D	WHL	Spokane	192.5	228
Ryan Ellis	D	OHL	Windsor	175.0	172
Calvin de Haan	D	OHL	Oshawa	182.5	189
Zack Kassian	RW	OHL	Peterborough	187.5	214
Dmitry Kulikov	D	QMJHL	Drummondville	182.5	183
Peter Holland	C	OHL	Guelph	185.0	185
Jordan Caron	RW	QMJHL	Rimouski	185.0	202
Philippe Paradis	C	QMJHL	Shawinigan	185.0	205
Carter Ashton	RW	WHL	Lethbridge	187.5	215
Simon Despres	D	QMJHL	Saint John	190.0	205
Landon Ferraro	C	WHL	Red Deer	177.5	165
Ryan O'Reilly	C	OHL	Erie	180.0	200
Kyle Clifford	LW	OHL	Barrie	185.0	207
Mat Clark	D	OHL	Brampton	187.5	205
Charles-Olivier Roussel	D	QMJHL	Shawinigan	182.5	201
Ethan Werek	C	OHL	Kingston	182.5	189
Brett Ponich	D	WHL	Portland	197.5	225
Stefan Elliott	D	WHL	Saskatoon	182.5	180
Eric Gelinas	D	QMJHL	Lewiston	190.0	195
Taylor Doherty	D	OHL	Kingston	197.5	235
Jesse Blacker	D	OHL	Windsor	182.5	190
Tyson Barrie	D	WHL	Kelowna	175.0	190
Brayden McNabb	D	WHL	Kootenay	190.0	204
Jamie Devane	LW	OHL	Plymouth	192.5	217
Taylor Beck	LW	OHL	Guelph	185.0	205
Michael Latta	C	OHL	Guelph	177.5	207
Ryan Howse	LW	WHL	Chilliwack	177.5	195
Andrej Nestrasil	F	QMJHL	Victoriaville	185.0	200
Matt Hackett	G	OHL	Plymouth	185.0	170
Adam Morrison	G	WHL	Saskatoon	187.5	166
Cameron Abney	RW	WHL	Everett	192.5	200
Nicolas Deslauriers	D	QMJHL	Rouyn-Noranda	182.5	200
Cody Eakin	C	WHL	Swift Current	177.5	176
Ryan Button	D	WHL	Prince Albert	180.0	185
Gleason Fournier	D	QMJHL	Rimouski	180.0	176
Casey Cizikas	C	OHL	Mississauga St. Michael's	175.0	193
Alex Hutchings	LW	OHL	Barrie	175.0	178
David Savard	D	QMJHL	Moncton	182.5	200
J-F Berube	G	QMJHL	Montreal	182.5	168
Linden Vey	RW	WHL	Medicine Hat	180.0	181
Jordan Szwarz	RW	OHL	Saginaw	177.5	189
Kristopher Foucault	LW	WHL	Calgary	182.5	202
Marcus Foligno	LW	OHL	Sudbury	185.0	215
Justin Weller	D	WHL	Red Deer	185.0	205
Garrett Wilson	LW	OHL	Owen Sound	185.0	199
Tyler Shattock	RW	WHL	Kamloops	185.0	205
Lane MacDermid	LW	OHL	Windsor	187.5	205
Edward Pasquale	G	OHL	Saginaw	187.5	215
Byron Froese	C	WHL	Everett	180.0	176
Ben Chiarot	D	OHL	Guelph	185.0	211
Nick Petersen	RW	QMJHL	Shawinigan	185.0	186
Cody Sol	D	OHL	Saginaw	190.0	215
David Kolomatis	D	OHL	Owen Sound	177.5	195
Tomas Vincour	C	WHL	Edmonton	185.0	199
Mike Hoffman	F	QMJHL	Drummondville	177.5	176
Matt Kennedy	RW	OHL	Guelph	185.0	202
Gabriel Bourque	LW	QMJHL	Baie Comeau	172.5	185
Olivier Roy	G	QMJHL	Cape Breton	180.0	180
Gabriel Dumont	C	QMJHL	Drummondville	172.5	170
Scott Stajcer	G	OHL	Owen Sound	187.5	195
Nicola Riopel	G	QMJHL	Moncton	180.0	172
Brett Flemming	D	OHL	Mississauga St. Michael's	180.0	172
Phil Varone	C	OHL	London	175.0	185
Michael Zador	G	OHL	Oshawa	182.5	172
Andy Bathgate	C	OHL	Belleville	180.0	164
Dave Labrecque	C	QMJHL	Shawinigan	180.0	170
Jimmy Bubnick	C	WHL	Kamloops	185.0	194
Michael Pelech	F	OHL	Mississauga St. Michael's	187.5	209
Evan Bloodoff	LW	WHL	Kelowna	177.5	190
Corey Cowick	LW	OHL	Ottawa	187.5	208
Darcy Kuemper	G	WHL	Red Deer	190.0	195
Jaroslav Janus	G	OHL	Erie	182.5	189
Scott Timmins	C	OHL	Windsor	177.5	191
Scott Valentine	D	OHL	Oshawa	180.0	196
David Shields	D	OHL	Erie	187.5	218
Dan Maggio	D	OHL	Sudbury	185.0	191
Eric Wellwood	LW	OHL	Windsor	177.5	180
Ashton Bernard	LW	QMJHL	Shawinigan	190.0	197
Garrett Mitchell	RW	WHL	Regina	175.0	180
Tyler Randell	RW	OHL	Kitchener	182.5	191
Brandon Kozun	RW	WHL	Calgary	170.0	156
Mitch Callahan	RW	WHL	Kelowna	177.5	175
Levko Koper	LW	WHL	Spokane	180.0	180
Jordan Nolan	C	OHL	Sault Ste. Marie	187.5	217
Steven Anthony	LW	QMJHL	Saint John	182.5	205
Barron Smith	D	OHL	Peterborough	190.0	191
Marek Viedensky	C	WHL	Prince George	190.0	195
Maxime Legault	RW	QMJHL	Shawinigan	185.0	195
Kyle Neuber	RW	OHL	Mississauga St. Michael's	185.0	225
Gaelan Patterson	C	WHL	Saskatoon	180.0	204
Benjamin Casavant	LW	QMJHL	PEI	182.5	213
Tommi Kivisto	D	WHL	Red Deer	182.5	195
David Gilbert	C	QMJHL	Quebec	185.0	186
