Name	Position	League	Team	Height	Weight
Jordan Staal	C	OHL	Peterborough	190.0	220
Derick Brassard	C	QMJHL	Drummondville	182.5	199
Peter Mueller	C	WHL	Everett	185.0	204
James Sheppard	C	QMJHL	Cape Breton	185.0	210
Jonathan Bernier	G	QMJHL	Lewiston	177.5	186
Bryan Little	C	OHL	Barrie	177.5	185
Michael Grabner	RW	WHL	Spokane	180.0	170
Ty Wishart	D	WHL	Prince George	190.0	222
Chris Stewart	RW	OHL	Kingston	185.0	228
Bobby Sanguinetti	D	OHL	Owen Sound	187.5	190
Claude Giroux	RW	QMJHL	Gatineau	177.5	172
Leland Irving	G	WHL	Everett	180.0	177
Ivan Vishnevskiy	D	QMJHL	Rouyn-Noranda	180.0	193
Nick Foligno	LW	OHL	Sudbury	180.0	208
Matthew Corrente	D	OHL	Saginaw	180.0	205
Francois Bouchard	RW	QMJHL	Baie Comeau	182.5	195
Jamie McGinn	LW	OHL	Ottawa	182.5	205
Bryce Swan	RW	QMJHL	Halifax	185.0	191
Ondrej Fiala	C	WHL	Everett	182.5	183
Cory Emmerton	F	OHL	Kingston	180.0	190
Riley Holzapfel	C	WHL	Moose Jaw	185.0	190
Shawn Matthias	C	OHL	Belleville	185.0	213
Joe Ryan	D	QMJHL	Quebec	185.0	189
Ben Maxwell	C	WHL	Kootenay	182.5	195
Milan Lucic	LW	WHL	Vancouver	190.0	220
Mathieu Carle	D	QMJHL	Acadie-Bathurst	180.0	203
Mike Weber	D	OHL	Windsor	185.0	211
Codey Burki	C	WHL	Brandon	180.0	190
Ryan White	C	WHL	Calgary	180.0	193
Steve Mason	G	OHL	London	190.0	211
Brad Marchand	C	QMJHL	Moncton	172.5	183
Cal Clutterbuck	RW	OHL	Oshawa	177.5	213
Brady Calla	RW	WHL	Everett	180.0	190
Theo Peckham	D	OHL	Owen Sound	185.0	234
John De Gray	D	OHL	Brampton	190.0	204
Ryan Hillier	LW	QMJHL	Halifax	182.5	193
Tom Sestito	LW	OHL	Plymouth	192.5	228
Bud Holloway	F	WHL	Seattle	180.0	201
John Armstrong	F	OHL	Plymouth	185.0	188
Aaron Snow	LW	OHL	Brampton	180.0	199
Harrison Reed	RW	OHL	Sarnia	182.5	185
Ben Shutron	D	OHL	Kingston	180.0	186
Oskar Osala	LW	OHL	Mississauga	190.0	219
James Delory	D	OHL	Oshawa	190.0	235
James Reimer	G	WHL	Red Deer	185.0	208
Michael Caruso	D	OHL	Guelph	185.0	191
Matt Beleskey	LW	OHL	Belleville	180.0	204
Ben Wright	D	WHL	Lethbridge	185.0	189
Felix Schutz	C	QMJHL	Saint John	177.5	187
Hugo Carpentier	C	QMJHL	Rouyn-Noranda	185.0	200
Pierre-Luc Lessard	D	QMJHL	Gatineau	180.0	180
Luke Lynes	F	OHL	Brampton	182.5	195
Bobby Hughes	C	OHL	Kingston	175.0	180
Maxime Lacroix	LW	QMJHL	Quebec	180.0	180
Andrew Bodnarchuk	D	QMJHL	Halifax	177.5	172
Bryan Pitton	G	OHL	Brampton	187.5	204
Maxime Frechette	D	QMJHL	Drummondville	192.5	200
Ashton Rome	RW	WHL	Kamloops	182.5	205
Olivier Magnan	D	QMJHL	Rouyn-Noranda	185.0	210
Ryan Daniels	G	OHL	Saginaw	182.5	196
Jordan Bendfeld	D	WHL	Medicine Hat	187.5	245
Stefan Chaput	C	QMJHL	Lewiston	180.0	190
Peter Aston	D	OHL	Windsor	182.5	205
Levi Nelson	C	WHL	Swift Current	177.5	167
Jesse Dudas	D	WHL	Prince George	182.5	214
Andrew MacDonald	D	QMJHL	Moncton	182.5	201
Dane Crowley	D	WHL	Swift Current	185.0	210
Eric Hunter	C	WHL	Prince George	185.0	205
Michael Dupont	G	QMJHL	Baie Comeau	180.0	175
Mathieu Perreault	C	QMJHL	Acadie-Bathurst	175.0	174
Devin Didiomete	LW	OHL	Sudbury	177.5	195
Derek Dorsett	RW	WHL	Medicine Hat	180.0	190
Matt Marquardt	LW	QMJHL	Moncton	187.5	220
Evan Fuller	RW	WHL	Prince George	185.0	196
Cameron Cepek	D	WHL	Portland	182.5	170
Benjamin Breault	C	QMJHL	Baie Comeau	177.5	177
Kyle Henegan	D	QMJHL	Shawinigan	190.0	204
Logan Pyett	D	WHL	Regina	175.0	199
