Name	Position	League	Team	Height	Weight
Rick Nash	LW	OHL	London	190.0	216
Jay Bouwmeester	D	WHL	Medicine Hat	190.0	215
Scottie Upshall	RW	WHL	Kamloops	180.0	200
Joffrey Lupul	F	WHL	Medicine Hat	182.5	206
Pierre-Marc Bouchard	C	QMJHL	Chicoutimi	175.0	173
Petr Taticek	C	OHL	Sault Ste. Marie	180.0	188
Steve Eminger	D	OHL	Kitchener	185.0	203
Jakub Klepis	C	WHL	Portland	182.5	198
Boyd Gordon	RW	WHL	Red Deer	182.5	200
Daniel Paille	LW	OHL	Guelph	180.0	200
Ben Eager	LW	OHL	Oshawa	185.0	235
Cam Ward	G	WHL	Red Deer	182.5	185
Martin Vagner	D	QMJHL	Hull	182.5	214
Jeff Deslauriers	G	QMJHL	Chicoutimi	190.0	201
Jarret Stoll	C	WHL	Kootenay	182.5	210
Tim Brent	C	OHL	St. Michael's	180.0	188
Josh Harding	G	WHL	Regina	182.5	197
Trevor Daley	D	OHL	Sault Ste. Marie	177.5	205
Matt Stajan	C	OHL	Belleville	182.5	200
Maxime Daigneault	G	QMJHL	Val d'Or	187.5	205
Adam Henrich	LW	OHL	Brampton	190.0	216
Johnny Boychuk	D	WHL	Calgary	185.0	225
Andrei Mikhnov	F	OHL	Sudbury	195.0	192
Petr Kanko	RW	OHL	Kitchener	175.0	195
Gregory Campbell	F	OHL	Plymouth	180.0	197
Erik Christensen	C	WHL	Kamloops	182.5	200
Brian Lee	D	OHL	Erie	185.0	187
Barry Brust	G	WHL	Spokane	185.0	225
Todd Ford	G	WHL	Swift Current	190.0	176
Michael Tessier	LW	QMJHL	Acadie-Bathurst	185.0	191
Patrick Wellar	D	WHL	Portland	187.5	210
Ahren Nittel	LW	OHL	Windsor	185.0	214
Jonas Fiedler	RW	OHL	Plymouth	185.0	177
Dominic D'Amour	D	QMJHL	Hull	187.5	202
Matthew Lombardi	C	QMJHL	Victoriaville	177.5	195
Jesse Lane	D	QMJHL	Hull	182.5	210
Derek Krestanovich	C	WHL	Moose Jaw	182.5	175
Lance Monych	RW	WHL	Brandon	185.0	199
Michael Lambert	F	QMJHL	Montreal	185.0	180
Brandon Segal	RW	WHL	Calgary	185.0	212
Aaron Rome	D	WHL	Swift Current	182.5	218
Rosario Ruggeri	D	QMJHL	Chicoutimi	182.5	202
Jevon Desautels	LW	WHL	Spokane	187.5	215
Scott Dobben	F	OHL	Erie	182.5	193
Mark Rooneem	LW	WHL	Kamloops	182.5	185
Cam Janssen	RW	OHL	Windsor	180.0	215
Lane Manson	D	WHL	Moose Jaw	202.5	245
Cam Paddock	C	WHL	Kelowna	180.0	178
Patrick Jarrett	C	OHL	Owen Sound	175.0	181
Kris Newbury	F	OHL	Sarnia	177.5	213
George Davis	RW	QMJHL	Cape Breton	185.0	225
Paul Flache	D	OHL	Brampton	192.5	220
Robert Gherson	G	OHL	Sarnia	180.0	155
David Bararuk	F	WHL	Moose Jaw	180.0	175
Robert McVicar	G	WHL	Brandon	190.0	202
Peter Hamerlik	G	OHL	Kingston	185.0	187
Armands Berzins	C	QMJHL	Shawinigan	190.0	227
James Wisniewski	D	OHL	Plymouth	177.5	208
Daniel Manzato	G	QMJHL	Victoriaville	180.0	178
Gerard Dicaire	D	WHL	Kootenay	185.0	195
Tyler Weiman	G	WHL	Tri-City	177.5	180
Logan Koopmans	G	WHL	Lethbridge	185.0	182
Brad Schell	C	WHL	Spokane	182.5	190
Tim Konsorada	RW	WHL	Brandon	182.5	208
Jeremy Swanson	D	OHL	Barrie	180.0	199
Luke Fritshaw	D	WHL	Prince Albert	187.5	200
Marian Havel	F	WHL	Vancouver	180.0	176
Andre Deveaux	C	OHL	Belleville	187.5	220
Paul Ranger	D	OHL	Oshawa	187.5	210
Eric Johansson	C	WHL	Tri-City	180.0	190
DJ King	F	WHL	Lethbridge	187.5	230
Ian White	D	WHL	Swift Current	175.0	200
Nikita Korovkin	D	WHL	Kamloops	185.0	198
James Cuddihy	C	QMJHL	Shawinigan	187.5	194
Denis Yachmenev	LW	OHL	North Bay	182.5	185
Mathieu Brunelle	LW	QMJHL	Victoriaville	175.0	180
Josh Morrow	D	WHL	Tri-City	180.0	210
Jean-Francois Dufort	LW	QMJHL	Cape Breton	185.0	200
Bryan Hamm	D	OHL	Peterborough	190.0	213
Jonathan Ferland	RW	QMJHL	Acadie-Bathurst	185.0	209
Marc-Andre Roy	LW	QMJHL	Baie Comeau	185.0	205
Ladislav Kouba	LW	WHL	Red Deer	185.0	210
Tyson Kellerman	G	OHL	North Bay	185.0	183
Brad Topping	G	OHL	Brampton	182.5	186
Adam Taylor	C	WHL	Kootenay	180.0	190
Steven Goertzen	RW	WHL	Seattle	185.0	216
Derek Meech	D	WHL	Red Deer	177.5	200
Max Talbot	C	QMJHL	Hull	177.5	190
Tyler Boldt	D	WHL	Kamloops	182.5	185
Dennis Wideman	D	OHL	London	180.0	196
Marcus Smith	D	OHL	Kitchener	180.0	192
Jason Kostadine	RW	QMJHL	Hull	180.0	202
Ryan Craig	C	WHL	Brandon	182.5	215
Darren Reid	RW	WHL	Medicine Hat	185.0	205
Pierre-Olivier Beaulieu	D	QMJHL	Quebec	190.0	184
Francois Caron	D	QMJHL	Moncton	187.5	182
Matt Davis	G	QMJHL	Moncton	180.0	198
Dwight Labrosse	G	OHL	Guelph	182.5	167
Steven Spencer	D	WHL	Swift Current	185.0	221
Chris Petrow	D	OHL	Oshawa	185.0	188
Bill Kinkel	LW	OHL	Kitchener	190.0	229
