Name	Position	League	Team	Height	Weight
Steven Stamkos	C	OHL	Sarnia	182.5	188
Drew Doughty	D	OHL	Guelph	180.0	212
Zach Bogosian	D	OHL	Peterborough	187.5	215
Alex Pietrangelo	D	OHL	Niagara	187.5	206
Luke Schenn	D	WHL	Kelowna	185.0	229
Mikkel Boedker	LW	OHL	Kitchener	177.5	202
Josh Bailey	C	OHL	Windsor	182.5	201
Cody Hodgson	C	OHL	Brampton	180.0	185
Kyle Beach	LW	WHL	Everett	187.5	202
Tyler Myers	D	WHL	Kelowna	200.0	227
Colten Teubert	D	WHL	Regina	190.0	195
Zach Boychuk	C	WHL	Lethbridge	175.0	185
Chet Pickard	G	WHL	Tri-City	185.0	213
Luca Sbisa	D	WHL	Lethbridge	185.0	204
Michael Del Zotto	D	OHL	Oshawa	180.0	193
Jordan Eberle	C	WHL	Regina	180.0	185
Tyler Cuma	D	OHL	Ottawa	185.0	180
Greg Nemisz	C	OHL	Windsor	187.5	197
Tyler Ennis	C	WHL	Medicine Hat	172.5	157
Tom McCollum	G	OHL	Guelph	185.0	205
Philip McRae	C	OHL	London	185.0	200
Jake Allen	G	QMJHL	St. John's	185.0	190
Nicolas Deschamps	C	QMJHL	Chicoutimi	180.0	173
Eric O'Dell	C	OHL	Sudbury	180.0	195
Yann Sauve	D	QMJHL	Saint John	187.5	209
Luke Adam	C	QMJHL	St. John's	185.0	203
Colby Robak	D	WHL	Brandon	187.5	194
Max Sauve	C	QMJHL	Val d'Or	180.0	170
Mitch Wahl	C	WHL	Spokane	180.0	175
Jared Staal	RW	OHL	Sudbury	190.0	210
Cameron Gaunce	D	OHL	Mississauga St. Michael's	182.5	203
Travis Hamonic	D	WHL	Moose Jaw	185.0	208
Patrice Cormier	C	QMJHL	Rimouski	185.0	215
Marco Scandella	D	QMJHL	Val d'Or	185.0	190
Eric Mestery	D	WHL	Tri-City	192.5	195
Tyler Beskorowany	G	OHL	Owen Sound	190.0	208
Peter Delmas	G	QMJHL	Lewiston	185.0	169
Danick Paquette	RW	QMJHL	Lewiston	182.5	210
Marc-Andre Bourdon	D	QMJHL	Rouyn-Noranda	180.0	206
Shawn Lalonde	D	OHL	Belleville	182.5	192
Michael Stone	D	WHL	Calgary	187.5	200
James Livingston	RW	OHL	Sault Ste. Marie	182.5	200
Josh Brittain	LW	OHL	Kingston	190.0	210
Jyri Niemi	D	WHL	Saskatoon	187.5	203
Andrew Campbell	D	OHL	Sault Ste. Marie	190.0	207
Mathieu Brodeur	D	QMJHL	Cape Breton	192.5	190
Michael Hutchinson	G	OHL	Barrie	187.5	185
Lance Bouma	C	WHL	Vancouver	182.5	210
Zack Smith	C	WHL	Swift Current	185.0	210
Adam Comrie	D	OHL	Saginaw	190.0	205
Adam Henrique	C	OHL	Windsor	180.0	200
Marco Cousineau	G	QMJHL	Baie Comeau	180.0	195
Jacob Deserres	G	WHL	Seattle	185.0	195
Brandon McMillan	C	WHL	Kelowna	177.5	188
Ian Schultz	RW	WHL	Calgary	182.5	179
Geordie Wudrick	LW	WHL	Swift Current	187.5	213
Samuel Groulx	D	QMJHL	Quebec	185.0	182
Braden Holtby	G	WHL	Saskatoon	182.5	209
Jamie Arniel	C	OHL	Sarnia	177.5	183
Mikhail Stefanovich	C	QMJHL	Quebec	185.0	202
Colin Long	C	WHL	Kelowna	177.5	187
AJ Jenks	LW	OHL	Plymouth	185.0	206
Jordon Southorn	D	QMJHL	PEI	185.0	185
Michal Jordan	D	OHL	Plymouth	182.5	186
Steven Delisle	D	QMJHL	Gatineau	195.0	209
Kelsey Tessier	C	QMJHL	Quebec	172.5	168
Dale Weise	RW	WHL	Swift Current	185.0	210
Matt Delahey	D	WHL	Regina	182.5	210
TJ Brodie	D	OHL	Saginaw	182.5	182
Jason Missiaen	G	OHL	Peterborough	200.0	193
James Wright	C	WHL	Vancouver	190.0	200
Nathan Moon	C	OHL	Kingston	177.5	179
Dustin Tokarski	G	WHL	Spokane	177.5	198
Kevin Poulin	G	QMJHL	Victoriaville	185.0	211
Matt Calvert	LW	WHL	Brandon	172.5	164
Joel Champagne	C	QMJHL	Chicoutimi	190.0	210
Prab Rai	C	WHL	Seattle	177.5	191
Teigan Zahn	D	WHL	Saskatoon	185.0	222
Philippe Cornet	LW	QMJHL	Rimouski	180.0	196
Jacob Lagace	LW	QMJHL	Chicoutimi	177.5	190
Brent Regner	D	WHL	Vancouver	177.5	175
Chris Doyle	C	QMJHL	PEI	180.0	191
Kory Nagy	C	OHL	Oshawa	177.5	195
Joel Broda	C	WHL	Moose Jaw	180.0	196
Julien Demers	D	OHL	Ottawa	180.0	215
Kyle De Coste	RW	OHL	Brampton	185.0	195
Matt Martin	LW	OHL	Sarnia	187.5	210
Mark Barberio	D	QMJHL	Moncton	182.5	197
Justin Azevedo	C	OHL	Kitchener	167.5	175
Christopher Carrozzi	G	OHL	Mississauga St. Michael's	187.5	195
Anthony Nigro	C	OHL	Guelph	177.5	180
Jared Spurgeon	D	WHL	Spokane	172.5	185
Nick Crawford	D	OHL	Saginaw	182.5	199
Mike Murphy	G	OHL	Belleville	177.5	165
Joel Chouinard	D	QMJHL	Victoriaville	182.5	186
Ryley Grantham	C	WHL	Moose Jaw	187.5	207
Mitch Gaulton	D	OHL	Erie	180.0	207
Justin DiBenedetto	C	OHL	Sarnia	180.0	188
Matt Tassone	C	WHL	Swift Current	180.0	200
Zac Rinaldo	C	OHL	Mississauga St. Michael's	177.5	169
Patrick Killeen	G	OHL	Brampton	190.0	204
Stephen Johnston	LW	OHL	Belleville	182.5	175
Jason Demers	D	QMJHL	Victoriaville	182.5	195
Tim Billingsley	D	OHL	Mississauga St. Michael's	182.5	177
Morgan Clark	G	WHL	Red Deer	177.5	160
Jordan Bendfeld	D	WHL	Medicine Hat	187.5	245
Samuel Morneau	LW	QMJHL	Baie Comeau	177.5	190
Harry Young	D	OHL	Windsor	190.0	215
Stefan Della Rovere	LW	OHL	Barrie	177.5	200
Jean-Sebastien Berube	LW	QMJHL	Rouyn-Noranda	190.0	210
