Name	Position	League	Team	Height	Weight
Nico Hischier	C	QMJHL	Halifax	182.5	179
Nolan Patrick	C	WHL	Brandon	185.0	199
Cody Glass	C	WHL	Portland	182.5	178
Michael Rasmussen	C	WHL	Tri-City	192.5	221
Owen Tippett	RW	OHL	Mississauga	180.0	203
Gabriel Vilardi	C	OHL	Windsor	185.0	203
Nick Suzuki	C	OHL	Owen Sound	177.5	183
Cal Foote	D	WHL	Kelowna	190.0	215
Juuso Valimaki	D	WHL	Tri-City	182.5	211
Robert Thomas	C	OHL	London	177.5	193
Kailer Yamamoto	RW	WHL	Spokane	167.5	146
Pierre-Olivier Joseph	D	QMJHL	Charlottetown	185.0	163
Morgan Frost	C	OHL	Sault Ste. Marie	175.0	173
Henri Jokiharju	D	WHL	Portland	177.5	188
Conor Timmins	D	OHL	Sault Ste. Marie	182.5	184
Kole Lind	RW	WHL	Kelowna	182.5	185
Nicolas Hague	D	OHL	Mississauga	192.5	207
Isaac Ratcliffe	LW	OHL	Guelph	195.0	200
Jason Robertson	LW	OHL	Kingston	185.0	196
Aleksi Heponiemi	C	WHL	Swift Current	175.0	149
Jaret Anderson-Dolan	C	WHL	Spokane	177.5	191
Alex Formenton	LW	OHL	London	182.5	166
Maxime Comtois	LW	QMJHL	Victoriaville	182.5	207
Zachary Lauzon	D	QMJHL	Rouyn-Noranda	180.0	187
Jack Studnicka	C	OHL	Oshawa	180.0	171
Jonah Gadjovich	LW	OHL	Owen Sound	182.5	199
Josh Brook	D	WHL	Moose Jaw	182.5	191
Eemeli Rasanen	D	OHL	Kingston	195.0	214
Antoine Morand	C	QMJHL	Acadie-Bathurst	175.0	175
Jake Leschyshyn	C	WHL	Regina	175.0	189
Michael DiPietro	G	OHL	Windsor	180.0	202
Morgan Geekie	C	WHL	Tri-City	185.0	190
Scott Walford	D	WHL	Victoria	182.5	193
MacKenzie Entwistle	RW	OHL	Hamilton	185.0	171
Matt Villalta	G	OHL	Sault Ste. Marie	185.0	165
Stelio Mattheos	RW	WHL	Brandon	180.0	189
Nate Schnarr	C	OHL	Guelph	187.5	180
Stuart Skinner	G	WHL	Lethbridge	187.5	200
Lane Zablocki	RW	WHL	Red Deer	177.5	179
Zach Gallant	C	OHL	Peterborough	182.5	198
Dmitri Samorukov	D	OHL	Guelph	185.0	185
Ivan Lodnia	RW	OHL	Erie	175.0	176
Cale Fleury	D	WHL	Kootenay	182.5	199
Nick Henry	RW	WHL	Regina	177.5	190
Mason Shaw	C	WHL	Medicine Hat	170.0	173
Nikita Popugaev	LW	WHL	Prince George	192.5	219
Liam Hawel	C	OHL	Guelph	187.5	175
Matthew Strome	LW	OHL	Hamilton	187.5	207
Maksim Sushko	RW	OHL	Owen Sound	177.5	181
Noel Hoefenmayer	D	OHL	Ottawa	180.0	191
Adam Ruzicka	C	OHL	Sarnia	187.5	209
Ian Scott	G	WHL	Prince Albert	187.5	169
Markus Phillips	D	OHL	Owen Sound	177.5	202
Drake Batherson	C	QMJHL	Cape Breton	182.5	187
Kyle Olson	RW	WHL	Tri-City	175.0	161
Brandon Crawley	D	OHL	London	182.5	203
Tyler Steenbergen	C	WHL	Swift Current	175.0	188
David Noel	D	QMJHL	Val d'Or	182.5	175
Cole Fraser	D	OHL	Peterborough	185.0	195
Leon Gawanke	D	QMJHL	Cape Breton	180.0	186
Drake Rymsha	C	OHL	Sarnia	177.5	187
Zach Fischer	RW	WHL	Medicine Hat	182.5	196
Fedor Gordeev	D	OHL	Flint	195.0	211
Marián Studenic	RW	OHL	Hamilton	180.0	164
Kirill Maksimov	RW	OHL	Niagara	185.0	192
Jacob Golden	D	OHL	London	177.5	163
Jarret Tyszka	D	WHL	Seattle	185.0	188
Jacob McGrew	RW	WHL	Spokane	172.5	190
Brett Davis	RW	WHL	Kootenay	180.0	178
Reilly Webb	D	OHL	Hamilton	187.5	195
Arnaud Durandeau	LW	QMJHL	Halifax	175.0	183
Brendan De Jong	D	WHL	Portland	192.5	192
D'Artagnan Joly	RW	QMJHL	Baie Comeau	185.0	175
Ryan McGregor	C	OHL	Sarnia	177.5	157
Cedric Pare	C	QMJHL	Saint John	185.0	205
Trenton Bourque	D	OHL	Owen Sound	182.5	200
Pavel Koltygin	C	QMJHL	Drummondville	180.0	189
Petrus Palmu	RW	OHL	Owen Sound	165.0	175
Jordan Hollett	G	WHL	Regina	190.0	194
Sasha Chmelevski	C	OHL	Ottawa	177.5	179
Matt Brassard	D	OHL	Oshawa	185.0	197
Ben Jones	C	OHL	Niagara	180.0	187
Jocktan Chainey	D	QMJHL	Halifax	180.0	198
Brady Gilmour	C	OHL	Saginaw	175.0	170
Dylan Ferguson	G	WHL	Kamloops	182.5	189
Skyler McKenzie	LW	WHL	Portland	167.5	154
Daniel Bukac	D	WHL	Brandon	190.0	185
Ivan Chekhovich	LW	QMJHL	Baie Comeau	175.0	177
Jacob Paquette	D	OHL	Kingston	185.0	204
