Name	Position	League	Team	Height	Weight
Ryan Nugent-Hopkins	C	WHL	Red Deer	180.0	171
Gabriel Landeskog	LW	OHL	Kitchener	182.5	204
Jonathan Huberdeau	C	QMJHL	Saint John	182.5	171
Ryan Strome	C	OHL	Niagara	180.0	177
Mark Scheifele	C	OHL	Barrie	185.0	184
Sean Couturier	C	QMJHL	Drummondville	187.5	197
Dougie Hamilton	D	OHL	Niagara	192.5	193
Duncan Siemens	D	WHL	Saskatoon	187.5	196
Ryan Murphy	D	OHL	Kitchener	177.5	170
Sven Baertschi	LW	WHL	Portland	175.0	181
Nathan Beaulieu	D	QMJHL	Saint John	182.5	179
Mark McNeill	C	WHL	Prince Albert	182.5	211
Stefan Noesen	RW	OHL	Plymouth	180.0	187
Joe Morrow	D	WHL	Portland	180.0	199
Matt Puempel	LW	OHL	Peterborough	180.0	198
Stuart Percy	D	OHL	Mississauga St. Michael's	182.5	187
Phillip Danault	LW	QMJHL	Victoriaville	180.0	181
Vladislav Namestnikov	C	OHL	London	177.5	171
Zack Phillips	C	QMJHL	Saint John	180.0	175
Nicklas Jensen	LW/RW	OHL	Oshawa	185.0	202
Rickard Rakell	RW	OHL	Plymouth	180.0	199
David Musil	D	WHL	Vancouver	187.5	196
Ty Rattie	RW	WHL	Portland	177.5	165
Tomas Jurco	RW	QMJHL	Saint John	182.5	191
Boone Jenner	C	OHL	Oshawa	182.5	196
Alex Khokhlachev	C/LW	OHL	Windsor	175.0	183
Brandon Saad	LW	OHL	Saginaw	182.5	203
Brett Ritchie	RW	OHL	Sarnia	187.5	209
Joel Edmundson	D	WHL	Moose Jaw	192.5	190
Xavier Ouellet	D	QMJHL	Montreal	180.0	179
Christopher Gibson	G	QMJHL	Chicoutimi	182.5	191
Scott Harrington	D	OHL	London	182.5	200
Ryan Sproul	D	OHL	Sault Ste. Marie	187.5	185
Lucas Lessio	LW	OHL	Oshawa	182.5	200
Tyler Wotherspoon	D	WHL	Portland	182.5	196
Shane Prince	C	OHL	Ottawa	175.0	181
Andrey Pedan	D	OHL	Guelph	190.0	201
Vincent Trocheck	C	OHL	Saginaw	175.0	178
Joseph Cramarossa	C	OHL	Mississauga St. Michael's	180.0	190
Adam Lowry	LW	WHL	Swift Current	190.0	187
Nick Cousins	C	OHL	Sault Ste. Marie	175.0	169
David Honzik	G	QMJHL	Victoriaville	187.5	209
Keegan Lowe	D	WHL	Edmonton	182.5	173
Travis Ewanyk	LW	WHL	Edmonton	182.5	176
Logan Shaw	RW	QMJHL	Cape Breton	187.5	193
Daniel Catenacci	C	OHL	Sault Ste. Marie	172.5	186
Andy Andreoff	C	OHL	Oshawa	182.5	198
Anthony Camara	LW	OHL	Saginaw	180.0	194
Harrison Ruopp	D	WHL	Prince Albert	185.0	198
Alan Quine	C	OHL	Peterborough	177.5	184
Josh Leivo	LW	OHL	Sudbury	182.5	173
Jonathan Racine	D	QMJHL	Shawinigan	182.5	183
Jordan Binnington	G	OHL	Owen Sound	185.0	158
Justin Sefton	D	OHL	Sudbury	185.0	209
Alexandre Grenier	RW	QMJHL	Halifax	192.5	200
Josh Shalla	LW	OHL	Saginaw	182.5	202
Jean-Gabriel Pageau	C	QMJHL	Gatineau	172.5	163
Yannick Veilleux	LW	QMJHL	Shawinigan	185.0	190
Michael St. Croix	C	WHL	Edmonton	175.0	177
Colin Jacobs	C	WHL	Seattle	182.5	205
Olivier Archambault	LW	QMJHL	Val d'Or	177.5	176
Kale Kessy	LW	WHL	Medicine Hat	187.5	184
Tobias Rieder	C	OHL	Kitchener	175.0	180
Marek Tvrdon	RW	WHL	Vancouver	185.0	210
Colin Suellentrop	D	OHL	Oshawa	182.5	190
Marcel Noebels	LW	WHL	Seattle	187.5	200
Zachary Yuen	D	WHL	Tri-City	180.0	196
Garrett Meurs	C	OHL	Plymouth	177.5	169
John Persson	LW	WHL	Red Deer	185.0	199
Brenden Kichton	D	WHL	Spokane	175.0	175
Shane McColgan	RW	WHL	Kelowna	170.0	165
Troy Vance	D	QMJHL	Victoriaville	195.0	200
Samuel Noreau	D	QMJHL	Baie Comeau	192.5	206
Alex Lepkowski	D	OHL	Barrie	190.0	210
Darren Dietz	D	WHL	Saskatoon	182.5	193
