Name	Position	League	Team	Height	Weight
Nail Yakupov	RW	OHL	Sarnia	177.5	185
Ryan Murray	D	WHL	Everett	180.0	198
Alex Galchenyuk	C	OHL	Sarnia	180.0	194
Griffin Reinhart	D	WHL	Edmonton	187.5	206
Morgan Rielly	D	WHL	Moose Jaw	180.0	200
Mathew Dumba	D	WHL	Red Deer	177.5	184
Derrick Pouliot	D	WHL	Portland	177.5	192
Slater Koekkoek	D	OHL	Peterborough	182.5	184
Mikhail Grigorenko	C	QMJHL	Quebec	187.5	200
Radek Faksa	C	OHL	Kitchener	185.0	200
Cody Ceci	D	OHL	Ottawa	182.5	205
Tom Wilson	RW	OHL	Plymouth	187.5	205
Scott Laughton	C	OHL	Oshawa	180.0	177
Olli Maatta	D	OHL	London	182.5	204
Malcolm Subban	G	OHL	Belleville	182.5	195
Brendan Gaunce	C	OHL	Belleville	182.5	207
Henrik Samuelsson	C/RW	WHL	Edmonton	185.0	216
Tanner Pearson	LW	OHL	Barrie	180.0	193
Mitchell Moroz	LW	WHL	Edmonton	182.5	208
Matthew Finn	D	OHL	Guelph	180.0	199
Lukas Sutter	C	WHL	Saskatoon	180.0	215
Dylan Blujus	D	OHL	Brampton	185.0	191
Mitchell Heard	C	OHL	Plymouth	180.0	188
Raphael Bussieres	LW	QMJHL	Baie Comeau	182.5	195
Brock McGinn	LW	OHL	Guelph	177.5	174
Dillon Fournier	D	QMJHL	Rouyn-Noranda	182.5	173
Martin Frk	RW	QMJHL	Halifax	180.0	193
Colton Sissons	C	WHL	Kelowna	180.0	187
Dalton Thrower	D	WHL	Saskatoon	177.5	200
Mike Winther	C	WHL	Prince Albert	180.0	172
Chris Tierney	C	OHL	London	180.0	181
Alexandre Mallet	LW	QMJHL	Rimouski	182.5	195
Jordan Martinook	LW	WHL	Vancouver	177.5	202
Damon Severson	D	WHL	Kelowna	182.5	190
Tim Bozon	LW	WHL	Kamloops	180.0	183
Adam Pelech	D	OHL	Erie	185.0	194
Daniel Altshuller	G	OHL	Oshawa	185.0	191
Scott Kosmachuk	RW	OHL	Guelph	177.5	185
Tanner Richard	C	OHL	Guelph	177.5	176
Troy Bourke	LW	WHL	Prince George	175.0	156
Justin Kea	C	OHL	Saginaw	187.5	212
Chris Driedger	G	WHL	Calgary	185.0	187
Chandler Stephenson	C/LW	WHL	Regina	177.5	190
Jake Paterson	G	OHL	Saginaw	180.0	176
Jarrod Maidens	C/LW	OHL	Owen Sound	180.0	178
Matt Murray	G	OHL	Sault Ste. Marie	190.0	169
Steven Hodges	C	WHL	Victoria	177.5	178
James Melindy	D	QMJHL	Moncton	185.0	187
Brendan Leipsic	LW	WHL	Portland	170.0	165
Ben Johnson	C/LW	OHL	Windsor	177.5	188
Daniil Zharkov	LW	OHL	Belleville	187.5	208
Matia Marcantuoni	C/RW	OHL	Kitchener	177.5	193
Brady Vail	C	OHL	Windsor	180.0	195
Josh Anderson	RW	OHL	London	182.5	189
Ben Thomson	LW	OHL	Kitchener	187.5	205
Cedric Paquette	C	QMJHL	Blainville-Boisbriand	180.0	198
Loic Leduc	D	QMJHL	Cape Breton	192.5	194
Gemel Smith	C	OHL	Owen Sound	175.0	164
Brett Kulak	D	WHL	Vancouver	182.5	181
Andrew O'Brien	D	QMJHL	Chicoutimi	187.5	200
Christophe Lalancette	RW	QMJHL	Acadie-Bathurst	177.5	162
Andreas Athanasiou	C/LW	OHL	London	180.0	177
Trevor Carrick	D	OHL	Mississauga St. Michael's	182.5	171
Nicholas Walters	D	WHL	Everett	182.5	189
Taylor Leier	LW	WHL	Portland	175.0	174
Charles Hudon	LW	QMJHL	Chicoutimi	175.0	170
Ryan Culkin	D	QMJHL	Quebec	182.5	176
Seth Griffith	C	OHL	London	172.5	180
Michael Clarke	C	OHL	Windsor	177.5	184
Logan Nelson	C	WHL	Victoria	182.5	179
Branden Troock	RW	WHL	Seattle	185.0	194
Graham Black	C	WHL	Swift Current	177.5	173
Garret Ross	LW	OHL	Saginaw	177.5	169
Clark Seymour	D	OHL	Peterborough	187.5	205
Cody Payne	RW	OHL	Plymouth	185.0	201
Francois Tremblay	G	QMJHL	Val d'Or	182.5	193
Travis Brown	D	WHL	Moose Jaw	182.5	179
Colin Miller	D	OHL	Sault Ste. Marie	180.0	175
Jesse Graham	D	OHL	Niagara	177.5	170
Connor Brown	RW	OHL	Erie	175.0	160
Ryan Rupert	C	OHL	London	170.0	186
Ryan Olsen	C	WHL	Saskatoon	182.5	187
Jake Dotchin	D	OHL	Owen Sound	185.0	207
Joseph Blandisi	C/RW	OHL	Owen Sound	175.0	182
Coda Gordon	LW	WHL	Swift Current	180.0	176
Francois Brassard	G	QMJHL	Quebec	182.5	154
Tomas Hyka	RW	QMJHL	Gatineau	175.0	160
Anton Zlobin	RW	QMJHL	Shawinigan	177.5	195
Francis Beauvillier	C/LW	QMJHL	Rimouski	182.5	181
Artur Gavrus	C/LW	OHL	Owen Sound	172.5	175
Gianluca Curcuruto	D	OHL	Sault Ste. Marie	180.0	195
Kenton Helgesen	D	WHL	Calgary	187.5	179
Brandon Whitney	G	QMJHL	Victoriaville	192.5	193
Colin Smith	C	WHL	Kamloops	175.0	162
Brady Austin	D	OHL	Belleville	187.5	234
Jaynen Rissling	D	WHL	Calgary	190.0	223
Tyrel Seaman	C	WHL	Brandon	185.0	196
Justin Hache	D	QMJHL	Shawinigan	182.5	188
Nick Ebert	D	OHL	Windsor	180.0	203
