Name	Position	League	Team	Height	Weight
Nathan MacKinnon	C	QMJHL	Halifax	180.0	182
Jonathan Drouin	LW	QMJHL	Halifax	175.0	186
Seth Jones	D	WHL	Portland	187.5	205
Sean Monahan	C	OHL	Ottawa	185.0	187
Darnell Nurse	D	OHL	Sault Ste. Marie	187.5	185
Bo Horvat	C	OHL	London	180.0	206
Samuel Morin	D	QMJHL	Rimouski	195.0	202
Max Domi	C/LW	OHL	London	172.5	197
Josh Morrissey	D	WHL	Prince Albert	177.5	186
Ryan Pulock	D	WHL	Brandon	180.0	211
Nikita Zadorov	D	OHL	London	192.5	221
Curtis Lazar	C/RW	WHL	Edmonton	177.5	190
Mirco Mueller	D	WHL	Everett	187.5	184
Kerby Rychel	LW	OHL	Windsor	180.0	205
Anthony Mantha	RW	QMJHL	Val d'Or	187.5	190
Frederik Gauthier	C	QMJHL	Rimouski	190.0	214
Emile Poirier	LW	QMJHL	Gatineau	180.0	183
Hunter Shinkaruk	C/LW	WHL	Medicine Hat	175.0	181
Shea Theodore	D	WHL	Seattle	182.5	178
Morgan Klimchuk	LW	WHL	Regina	177.5	180
Jason Dickinson	C	OHL	Guelph	182.5	179
Ryan Hartman	RW	OHL	Plymouth	177.5	181
Chris Bigras	D	OHL	Owen Sound	180.0	186
Adam Erne	LW	QMJHL	Quebec	180.0	210
Zach Fucale	G	QMJHL	Halifax	182.5	181
Valentin Zykov	LW	QMJHL	Baie Comeau	180.0	209
Laurent Dauphin	C	QMJHL	Chicoutimi	180.0	165
Remi Elie	LW	OHL	London	180.0	203
Nic Petan	C	WHL	Portland	170.0	165
Tristan Jarry	G	WHL	Edmonton	182.5	183
Nick Sorensen	RW	QMJHL	Quebec	180.0	174
Zach Nastasiuk	RW	OHL	Owen Sound	182.5	190
Gabryel Boudreau	LW	QMJHL	Baie Comeau	177.5	167
Dillon Heatherington	D	WHL	Swift Current	187.5	196
Justin Bailey	RW	OHL	Kitchener	187.5	186
Madison Bowey	D	WHL	Kelowna	180.0	195
Philippe Desrosiers	G	QMJHL	Rimouski	182.5	182
Marco Roy	C	QMJHL	Blainville-Boisbriand	180.0	175
William Carrier	LW	QMJHL	Cape Breton	182.5	198
Tyler Bertuzzi	LW	OHL	Guelph	180.0	178
Eric Comrie	G	WHL	Tri-City	180.0	167
Yan Pavel Laplante	C	QMJHL	PEI	180.0	178
Spencer Martin	G	OHL	Mississauga	185.0	198
Jonathan-Ismael Diaby	D	QMJHL	Victoriaville	192.5	223
Keegan Kanzig	D	WHL	Victoria	197.5	241
Nick Baptiste	RW	OHL	Sudbury	180.0	189
Connor Crisp	LW	OHL	Erie	187.5	225
Tyrell Goulbourne	LW	WHL	Kelowna	175.0	195
Ryan Kujawinski	C	OHL	Kingston	182.5	204
Anthony Duclair	LW	QMJHL	Quebec	177.5	177
Kurtis Gabriel	RW	OHL	Owen Sound	190.0	212
Carter Verhaeghe	C	OHL	Niagara	182.5	181
Jimmy Lodge	C	OHL	Saginaw	180.0	166
